Keeping my friend @MarkMeadows in my prayers as he battles COVID-19. Praying for a quick recovery!,2020-11-07 16:13:57,Twitter for iPhone,23,135,covid; 
Here's a great step-by-step resource for small businesses. #COVID19  #CoronavirusRelief #SmallBizRelief https://t.co/cz4F90CiRe,2020-03-31 01:24:39,Twitter for Android,4,6,covid; corona; 
I call on Planned Parenthood to halt abortions during the Coronavirus Crisis. On 3/19 Governor Ducey issued an executive order to halt all elective surgeries. Why isn't Planned Parenthood abiding?,2020-03-30 22:02:04,Twitter Web App,272,694,corona; 
#Thankyou @Medtronic #workingtogher Medtronic published design specifications for ventilator to combat coronavirus saying other firms can pursue rapid manufacturing of critically needed product  https://t.co/BQqNC3GFDV via @WSJ,2020-03-30 15:50:53,Twitter Web Client,4,6,corona; 
I supported the #CARESAct and thank President @realDonaldTrump for moving quickly in signing this bill. Relief is now on its way to help individuals families workers small businesses and hospitals. #COVID19 https://t.co/xIFcfxaBlo,2020-03-28 00:47:32,Twitter for Android,8,42,covid; 
A fantastic resource for Arizonans: https://t.co/06p89NXgzo Includes available resources for individuals and businesses along with volunteer opportunities. #AZTogether #COVID19 https://t.co/CaMcdSRNvH,2020-03-24 22:16:05,Twitter for Android,26,40,covid; 
Banner Health opens drive-thru COVID-19 testing at four sites three in Phoenix and one in Tucson. Appointments are needed. More details available at their website: https://t.co/K7P6TNAMdb,2020-03-24 04:59:27,Twitter for Android,20,32,covid; 
The @CDCgov and @Surgeon_General are encouraging people to donate blood due to the severe nationwide shortage. #COVID19 https://t.co/69Pr1hDwoi,2020-03-22 20:37:16,Twitter for Android,9,24,covid; 
Here's the latest update on school closures. They have been extended through April 10. #COVID19 https://t.co/yZznO4tBFS,2020-03-22 00:37:30,Twitter for Android,7,12,covid; 
Today I spoke with @AZDHS regarding AZ’s response to #COVID19. Arizona is quickly ramping up testing capabilities. All of us have a part to play in helping to contain the spread of coronavirus. If you are experiencing flu-like symptoms please contact your health care provider.,2020-03-14 04:00:49,Twitter Web App,19,69,covid; corona; 
Always a pleasure to join @SethLeibsohn on @960ThePatriot. Listen to our latest conversation on Bernie &amp; Biden in #Arizona and coronavirus here: https://t.co/tfCDySZMe7,2020-03-07 22:54:16,Twitter Web App,3,20,corona; 
House Democrats tried to attach items from their liberal agenda to an emergency funding bill for #coronavirus response.   Ultimately the House passed a CLEAN bill today with my support.   Democrats tried playing politics with public health but it didn't work.,2020-03-04 23:22:25,Twitter Web App,104,382,corona; 
From @abc15 - latest on coronavirus #Covid_19 in #Arizona: https://t.co/Kif8NmAHq1,2020-03-04 01:29:35,Twitter Web App,1,2,covid; corona; 
Starting today Arizona Department of Health Services will be able to test up to 450 samples per day for #coronavirus. This is in-house same-day testing. For #Arizona specific data @AZDHS will be updating their website daily:  https://t.co/0nQVeN3zFM,2020-03-03 00:04:44,Twitter Web App,13,46,corona; 
6 tips on #coronavirus you should follow from AZ Health Director @drcarachrist ... https://t.co/vZDbw6zNy5,2020-02-29 13:10:30,Twitter for Android,12,36,corona; 
