value,name,n,percent
1,flag_1,64674,70.07009826758686
1,flag_2,275,0.29794472312809456
1,flag_3,1233,1.335875794970693
1,flag_4,33432,36.22141084952166
1,flag_5,25279,27.38816238529128
1,flag_6,1824,1.9761860908568891
1,flag_7,10261,11.11713019642683
1,flag_8,1213,1.3142070878341043
1,flag_9,823,0.8916672986706248
