People aren’t happy that because of your lack of leadership on Covid-19 we could fill two football stadiums with dead Americans. https://t.co/ah2eaNXnW4,2020-08-04 13:18:16,Twitter for iPhone,88,456,covid; 
Let’s review. Multiple politicians and staff confirm hearing the same thing the Mayor did. One of the politicians @Steve_Gallardo tweeted that he heard the same thing. Few days later County confirms that they will need more freezers. But not because of Covid? https://t.co/yEqhSU5v3e,2020-07-16 01:24:25,Twitter for iPhone,35,136,covid; 
@DavidCaltabiano Great now that we know your base. I look forward to your analysis of Biggs a very prominent Arizonan who is effecting the national conversation around covid-19.,2020-07-12 03:13:14,Twitter for iPhone,0,1,covid; 
I don’t care if the Governor’s guidance is new or old. It is inadequate for the moment and will not change the trajectory of Covid-19 infections.  His new EO is weak and it is weak because the Governor is afraid to really make hard decisions and be a leader.,2020-07-10 03:22:39,Twitter for iPhone,201,948,covid; 
So far we have heard of a transplant being delayed because of lack of beds and people being sent to hospitals hundreds of miles from home.  It’s bad out there #maskup #COVID__19,2020-07-09 21:43:36,Twitter for iPhone,52,202,covid; 
Dear Republicans you cannot save America if millions are infected with Covid-19. https://t.co/DvYzurTXlo,2020-07-05 19:29:18,Twitter for iPhone,671,3704,covid; 
The least the ⁦@VP⁩ could do for Arizona is cause no harm. The worst you could do is bring more COVID-19 to the state. You literally had one job.  🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ https://t.co/nvTLGYwYHp,2020-07-04 00:55:51,Twitter for iPhone,422,1011,covid; 
Trump is America’s Neville Chamberlain. He just surrendered the country to Covid-19. https://t.co/MmdXk57Dfm,2020-07-04 00:14:28,Twitter for iPhone,47,172,covid; 
I remember the 1990’s Vanilla Ice didn’t have talent either. Like Coronavirus no need for a comback. #stop #collorobate and #maskup https://t.co/Ti5yL2BkdN,2020-07-02 16:10:30,Twitter for iPhone,9,89,corona; 
Arizonans are waiting for hours and sometimes days for COVID-19 tests.  The President can’t answer clearly whether he asked for a slow down in testing. If you are in the AZPress hope you get to ask him tomorrow. https://t.co/WD7DUyyeWS,2020-06-22 16:17:39,Twitter for iPhone,106,298,covid; 
Is this why in Arizona people are having a difficult time getting a Covid-19 test? https://t.co/YtBXuoyWsk,2020-06-21 00:38:34,Twitter Web App,208,594,covid; 
Likely they won’t get aggressive until Trump realizes that the rising Covid numbers in red governed swing states will also effect his re-election. https://t.co/6RdMOzHP2l,2020-06-20 00:25:58,Twitter for iPhone,19,101,covid; 
This is a good start to seriously deal with the spread of COVID-19. I hope it works and kudos to @dougducey for taking these steps. https://t.co/D64AQ9aIri,2020-06-17 22:35:58,Twitter for iPhone,10,45,covid; 
BTW saying we have enough hospital beds if things get bad is not a plan to deal with Covid it is a plan to deal with bad planning. @dougducey @drcarachrist,2020-06-11 22:24:21,Twitter for iPhone,346,1384,covid; 
By not give state and cities Coronavirus relief Donald will cause the firing of cops. https://t.co/A2H25DQt1a,2020-06-07 22:13:18,Twitter for iPhone,12,74,corona; 
Just to catch everyone up. McConnell and @realDonaldTrump refuse to give state and cities covid relief funds to help their budgets- which mean law enforcment budgets - will be defunded....,2020-06-07 22:06:18,Twitter for iPhone,330,1160,covid; 
Irony of this all is that because Republicans refuse to give states and cities money in Coronavirus relief they will in fact be responsible for getting thousands of police officers layed off across the country.  🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️,2020-06-07 20:21:36,Twitter for iPhone,62,298,corona; 
Trying to sneak this bill while the Navajo are busy trying to survive is so..typical of Arizona State Legislative Republicans.   Will Navajo people ravaged by COVID-19 also be disenfranchised? https://t.co/HuR0opC5Gg via @azcentral,2020-05-20 17:33:51,Twitter for iPhone,57,101,covid; 
The same guy who spun us into the Iraq War is now trying to spin Trump’s idiotic statement that we can use ultraviolet lights internally to cure Covid-19 because it works on inanimate objects. https://t.co/7BadEpNFSd,2020-04-26 23:47:56,Twitter for iPhone,29,149,covid; 
@shansen6022 @realDonaldTrump There wasn’t Coronavirus when Obama was around?,2020-04-23 00:45:06,Twitter for iPhone,0,1,corona; 
This man’s ignorance arrogance and corruption will kill more Americans than all of our recent wars combined. #coronavirus https://t.co/a6DMzexuGO,2020-04-07 17:11:52,Twitter for iPhone,42,129,corona; 
Seriously in college this kid wasn’t trusted with simple tasks.  The fact he is involved in our Coronavirus response is scary. https://t.co/C93ttmWUy6,2020-04-02 23:37:56,Twitter for iPhone,59,358,corona; 
Don’t forget to join us tomorrow (Thursday) we will also be taking question. #coronavirus https://t.co/WVIxMMXKg9,2020-04-01 15:16:40,Twitter for iPhone,8,12,corona; 
22 days ago. We could have saved tens of thousands of lives if had been a real leader.  #coronavirus https://t.co/VriYtBaML3,2020-04-01 05:04:10,Twitter for iPhone,49,287,corona; 
Please join me Thursday to talk about resources available to deal with the Coronavirus and it’s economic impact. https://t.co/WVIxMMXKg9,2020-04-01 04:37:48,Twitter for iPhone,12,40,corona; 
He shouldn’t be Presidnet then.  Or he could have used the 10 trips to the Golf course between January 1st and now to focus on coronavirus. https://t.co/gl8TXSikHv,2020-04-01 02:21:04,Twitter for iPhone,21,157,corona; 
This is coming to Arizona. Don’t take chances. #PHX Council members should plan for the worst case scenario. There is no upside to being cavalier with coronavirus.  Looks at Italy and Spain as countries that didn’t take proper precautions. #coronavirus https://t.co/1XzLBR6qR9,2020-03-31 01:23:03,Twitter for iPhone,16,43,corona; 
Well surprise surprise the President lies again. #coronavirus https://t.co/Jru1hkZWBu,2020-03-30 21:10:47,Twitter for iPhone,7,43,corona; 
Make sure to join me and other experts to talk about resources available to Arizonans during the Coronavirus epidemic.  #coronavirus https://t.co/WVIxMMXKg9,2020-03-30 21:05:36,Twitter for iPhone,2,9,corona; 
Which White House correspondent is gonna ask the President what happened? #coronavirus https://t.co/oynND3pZ4c,2020-03-28 17:57:39,Twitter for iPhone,16,72,corona; 
Also our Navajo Brothers and sisters have to travel for food an medicine. We literally forced them into these isolated areas when we took their lands. We make them travel by where we put them. #coronavirus https://t.co/cCer7hZarG,2020-03-28 16:45:37,Twitter for iPhone,60,209,corona; 
@Arlecchinoswart @mattyglesias Don’t come now. But once Coronavirus is gone. Best reason because you get the benefit of major urban city with culture. And can drive just one hour to beautiful landscapes. From my house 3 hours to Grand Canyon 3 hrs to beaches in Mexico,2020-03-27 22:31:22,Twitter for iPhone,0,30,corona; 
My flight is not serving food or snacks to help stop the spread of #coronavirus but they are still serving alcohol. I haven’t eaten since 9pm Thursday.  I think I should change my twitter password now before I get to real real.,2020-03-27 22:04:45,Twitter for iPhone,51,995,corona; 
So when can we look forward to testing and Protective medical gear? #coronavirus https://t.co/oKk55rRCiT,2020-03-27 19:09:48,Twitter for iPhone,21,106,corona; 
You’re an asshole. #coronavirus https://t.co/0h8SgnbNkg,2020-03-27 16:31:12,Twitter for iPhone,51,488,corona; 
