name,position,account_official,account_campaign,county_icpsr,state_icpsr,district,state_abbrev,party_code,born,nominate_dim1,nominate_dim2,career_start,career_end,race,population_density,region
Angie Craig,Rep,RepAngieCraig,AngieCraigMN,21910,33,2,MN,100,1972,-0.293,0.675,20190103,NA,,,
Rick Crawford,Rep,RepRickCrawford,Crawford4Cong,21106,42,1,AR,200,1966,0.408,0.493,20110103,NA,,,
Dan Crenshaw,Rep,RepDanCrenshaw,DanCrenshawTX,21911,49,2,TX,200,1984,0.389,0.367,20190103,NA,,,
Charlie Crist,Rep,RepCharlieCrist,CharlieCrist,21712,43,13,FL,100,1956,-0.217,0.019,20170103,NA,,,
Jason Crow,Rep,RepJasonCrow,JasonCrowCO6,21912,62,6,CO,100,1979,-0.259,0.384,20190103,NA,,,
Henry Cuellar,Rep,RepCuellar,CuellarCampaign,20533,49,28,TX,100,1955,-0.227,0.622,20050103,NA,,,
Elijah Cummings,Rep,RepCummings,ReElectCummings,29587,52,7,MD,100,1951,-0.438,-0.148,19960416,20191017,,,
Joe Cunningham,Rep,RepCunningham,JoeCunninghamSC,21913,48,1,SC,100,1982,-0.13,0.459,20190103,NA,,,
John Curtis,Rep,RepJohnCurtis,CurtisUT,21755,67,3,UT,200,1960,0.55,0.013,20171107,NA,,,
Sharice Davids,Rep,RepDavids,sharicedavids,21914,32,3,KS,100,1980,-0.24,0.231,20190103,NA,,,
Warren Davidson,Rep,WarrenDavidson,Vote_Davidson,21564,24,8,OH,200,1970,0.712,-0.332,20160607,NA,,,
Danny K. Davis,Rep,RepDannyDavis,DannyKDavis7th,29717,21,7,IL,100,1941,-0.486,-0.263,19970103,NA,,,
Rodney Davis,Rep,RodneyDavis,ElectRodney,21328,21,13,IL,200,1970,0.287,0.156,20130103,NA,,,
Susan Davis,Rep,RepSusanDavis,,20108,71,53,CA,100,1944,-0.343,-0.107,20010103,NA,,,
Madeleine Dean,Rep,RepDean,MadeleineDean,21915,14,4,PA,100,1959,-0.504,0.001,20190103,NA,,,
Peter DeFazio,Rep,RepPeterDeFazio,DeFazio4Oregon,15410,72,4,OR,100,1947,-0.429,0.004,19870103,NA,,,
Diana DeGette,Rep,RepDianaDeGette,DeGette5280,29710,62,1,CO,100,1957,-0.432,-0.315,19970103,NA,,,
Rosa DeLauro,Rep,RosaDeLauro,Rosa_DeLauro,29109,1,3,CT,100,1943,-0.416,-0.12,19910103,NA,,,
Suzan DelBene,Rep,RepDelBene,SuzanDelBene,31101,73,1,WA,100,1962,-0.28,-0.229,20121106,NA,,,
Antonio Delgado,Rep,repdelgado,DelgadoforNY19,21916,13,19,NY,100,1977,-0.192,0.142,20190103,NA,,,
Val Demings,Rep,RepValDemings,val_demings,21713,43,10,FL,100,1957,-0.34,-0.149,20170103,NA,,,
Mark DeSaulnier,Rep,RepDeSaulnier,MarkDeSaulnier,21504,71,11,CA,100,1952,-0.528,-0.357,20150103,NA,,,
Scott DesJarlais,Rep,DesJarlaisTN04,tndesjarlais,21179,54,4,TN,200,1964,0.579,-0.09,20110103,NA,,,
Ted Deutch,Rep,RepTedDeutch,RedDeutch,20959,43,22,FL,100,1966,-0.401,-0.1,20100413,NA,,,
