name,position,account_official,account_campaign,county_icpsr,state_icpsr,district,state_abbrev,party_code,born,nominate_dim1,nominate_dim2,career_start,career_end,race,population_density,region
John Lewis,Rep,RepJohnLewis,,15431,44,5,GA,100,1940,-0.589,-0.221,19870103,NA,,,
Ted Lieu,Rep,RepTedLieu,tedlieu,21507,71,33,CA,100,1969,-0.37,-0.261,20150103,NA,,,
Dan Lipinski,Rep,RepLipinski,DanLipinski,20508,21,3,IL,100,1966,-0.23,0.177,20050103,NA,,,
Dave Loebsack,Rep,DaveLoebsack,DaveForIowa,20720,31,2,IA,100,1952,-0.276,-0.032,20070103,NA,,,
Zoe Lofgren,Rep,RepZoeLofgren,ZoeLofgren,29504,71,19,CA,100,1947,-0.402,-0.444,19950103,NA,,,
Billy Long,Rep,USRepLong,auctnr1,21150,34,7,MO,200,1955,0.544,0.246,20110103,NA,,,
Barry Loudermilk,Rep,RepLoudermilk,standwithbarry,21515,44,11,GA,200,1963,0.688,-0.013,20150103,NA,,,
Alan Lowenthal,Rep,RepLowenthal,alanlowenthal,21313,71,47,CA,100,1941,-0.45,-0.368,20130103,NA,,,
Nita Lowey,Rep,NitaLowey,Lowey4Congress,15612,13,17,NY,100,1937,-0.389,-0.155,19890103,NA,,,
Frank Lucas,Rep,RepFrankLucas,FrankDLucas,29393,53,3,OK,200,1960,0.362,0.414,19940510,NA,,,
Blaine Luetkemeyer,Rep,RepBlaine,Blaine Luetkemeyer,20926,34,3,MO,200,1952,0.437,0.254,20090103,NA,,,
Ben Ray Luján,Rep,RepBenRayLujan,benraylujan,20932,66,3,NM,100,1972,-0.367,0.017,20090103,NA,,,
Elaine Luria,Rep,RepElaineLuria,ElaineLuriaVA,21941,40,2,VA,100,1975,-0.177,0.352,20190103,NA,,,
Stephen F. Lynch,Rep,RepStephenLynch,RepLynch,20119,3,8,MA,100,1955,-0.35,0.039,20011016,NA,,,
Tom Malinowski,Rep,RepMalinowski,Malinowski,21942,12,7,NJ,100,1965,-0.265,0.051,20190103,NA,,,
Carolyn Maloney,Rep,RepMaloney,Carolyn Maloney,29379,13,12,NY,100,1946,-0.387,-0.279,19930103,NA,,,
Sean Maloney,Rep,RepSeanMaloney,spmaloney,21344,13,18,NY,100,1966,-0.237,0.118,20130103,NA,,,
Kenny Marchant,Rep,RepKenMarchant,,20532,49,24,TX,200,1951,0.601,0.169,20050103,NA,,,
Thomas Marino,Rep,MarinoPA10,,21170,14,12,PA,200,1952,0.352,0.477,20110103,NA,,,
Roger Marshall,Rep,RepMarshall,RogerMarshallMD,21734,32,1,KS,200,1960,0.527,0.169,20170103,NA,,,
Thomas Massie,Rep,RepThomasMassie,MassieforKY,31102,51,4,KY,200,1971,0.68,-0.733,20121106,NA,,,
Brian Mast,Rep,repbrianmast,BrianMastFL,21735,43,18,FL,200,1980,0.411,-0.284,20170103,NA,,,
Doris Matsui,Rep,DorisMatsui,Matsui4Congress,20538,71,6,CA,100,1944,-0.434,-0.164,20050308,NA,,,
Ben McAdams,Rep,RepBenMcAdams,BenMcAdams,21943,67,4,UT,100,1974,-0.071,0.254,20190103,NA,,,
Lucy McBath,Rep,replucymcbath,lucymcbath,21944,44,6,GA,100,1960,-0.251,0.303,20190103,NA,,,
Kevin McCarthy,Rep,GOPLeader,kevinomccarthy,20703,71,23,CA,200,1965,0.459,0.21,20070103,NA,,,
Michael McCaul,Rep,RepMcCaul,McCaulforTexas,20530,49,10,TX,200,1962,0.438,0.09,20050103,NA,,,
Tom McClintock,Rep,RepMcClintock,tommcclintock,20903,71,4,CA,200,1956,0.72,-0.478,20090103,NA,,,
Betty McCollum,Rep,BettyMcCollum04,VoteBetty,20122,33,4,MN,100,1954,-0.418,-0.19,20010103,NA,,,
Donald McEachin,Rep,RepMcEachin,Donald_McEachin,21736,40,4,VA,100,1961,-0.388,-0.092,20170103,NA,,,
Jim McGovern,Rep,RepMcGovern,McGovernMA,29729,3,2,MA,100,1959,-0.539,-0.299,19970103,NA,,,
Patrick McHenry,Rep,PatrickMcHenry,McHenryCampaign,20522,47,10,NC,200,1975,0.553,0.072,20050103,NA,,,
David McKinley,Rep,RepMcKinley,McKinleyforWV,21188,56,1,WV,200,1947,0.302,0.188,20110103,NA,,,
Cathy McMorris Rodgers,Rep,CathyMcMorris,TeamCMR,20535,73,5,WA,200,1969,0.424,0.114,20050103,NA,,,
Jerry McNerney,Rep,RepMcNerney,herrymcnerney,20702,71,9,CA,100,1951,-0.261,-0.149,20070103,NA,,,
Mark Meadows,Rep,RepMarkMeadows,,21348,47,11,NC,200,1959,0.607,-0.204,20130103,20200530,,,
Gregory Meeks,Rep,RepGregoryMeeks,GregMeeksNYC,29776,13,5,NY,100,1953,-0.413,-0.074,19980203,NA,,,
Grace Meng,Rep,RepGraceMeng,Grace4NY,21342,13,6,NY,100,1975,-0.378,-0.161,20130103,NA,,,
Dan Meuser,Rep,RepMeuser,Meuser4Congress,21945,14,9,PA,200,1964,0.579,0.418,20190103,NA,,,
Kweisi Mfume,Rep,RepKweisi,Mfume4Congress,15433,52,7,MD,100,1948,-0.447,-0.438,20200428,,,,
Carol Miller,Rep,RepCarolMiller,CarolMillerWV,21946,56,3,WV,200,1950,0.463,0.388,20190103,NA,,,
Paul Mitchell,Rep,RepPaulMitchell,,21737,23,10,MI,200,1961,0.424,0.299,20170103,NA,,,
John Moolenaar,Rep,RepMoolenaar,JohnMoolenaar,21526,23,4,MI,200,1961,0.397,0.429,20150103,NA,,,
Alex Mooney,Rep,RepAlexMooney,MooneyforWV,21557,56,2,WV,200,1971,0.577,-0.29,20150103,NA,,,
Gwen Moore,Rep,RepGwenMoore,Gwen4Congress,20537,25,4,WI,100,1951,-0.531,-0.247,20050103,NA,,,
Joseph D. Morelle,Rep,RepJoeMorelle,votemorelle,21761,13,25,NY,100,1957,-0.313,0.099,20181106,NA,,,
Seth Moulton,Rep,sethmoulton,teammoulton,21525,3,6,MA,100,1978,-0.286,-0.077,20150103,NA,,,
Debbie Mucarsel-Powell,Rep,RepDMP,DebbieforFL,21947,43,26,FL,100,1971,-0.351,0.249,20190103,NA,,,
Markwayne Mullin,Rep,RepMullin,MarkwayneMullin,21355,53,2,OK,200,1977,0.515,0.373,20130103,NA,,,
Gregory Murphy,Rep,RepGregMurphy,GregMurphyMD,21987,47,3,NC,200,1963,0.601,0.01,20190910,NA,,,
Stephanie Murphy,Rep,RepStephMurphy,SMurphyCongress,21738,43,7,FL,100,1978,-0.158,0.054,20170103,NA,,,
Jerrold Nadler,Rep,RepJerryNadler,JerryNadler,29377,13,10,NY,100,1947,-0.508,-0.508,19921103,NA,,,
Grace Napolitano,Rep,GraceNapolitano,grace4congress,29903,71,32,CA,100,1936,-0.448,-0.251,19990103,NA,,,
Richard Neal,Rep,RepRichardNeal,NealForCongress,15616,3,1,MA,100,1949,-0.417,-0.11,19890103,NA,,,
Joe Neguse,Rep,RepJoeNeguse,JoeNeguse,21948,62,2,CO,100,1984,-0.514,-0.466,20190103,NA,,,
Dan Newhouse,Rep,RepNewhouse,Newhouse4Rep,21556,73,4,WA,200,1955,0.348,0.226,20150103,NA,,,
Donald Norcross,Rep,DonaldNorcross,DonNorcross4NJ,21536,12,1,NJ,100,1958,-0.427,0.328,20141104,NA,,,
Ralph Norman,Rep,RepRalphNorman,RalphNorman,21753,48,5,SC,200,1953,0.78,-0.175,20170620,NA,,,
Devin Nunes,Rep,RepDevinNunes,DevinNunes,20307,71,22,CA,200,1973,0.449,0.212,20030103,NA,,,
Alexandria Ocasio-Cortez,Rep,RepAOC,AOC,21949,13,14,NY,100,1989,-0.228,-0.974,20190103,NA,,,
Tom O'Halleran,Rep,repohalleran,TomOHalleran,21739,61,1,AZ,100,1946,-0.183,0.154,20170103,NA,,,
Pete Olson,Rep,RepPeteOlson,Pete Olson,20948,49,22,TX,200,1962,0.549,0.307,20090103,NA,,,
Ilhan Omar,Rep,Ilhan,IlhanMN,21950,33,5,MN,100,1981,-0.299,-0.954,20190103,NA,,,
Steven Palazzo,Rep,CongPalazzo,StevenPalazzo,21148,46,4,MS,200,1970,0.522,0.553,20110103,NA,,,
Frank Pallone,Rep,FrankPallone,pallonefornj,15454,12,6,NJ,100,1951,-0.404,-0.162,19881108,NA,,,
Gary Palmer,Rep,USRepGaryPalmer,Palmer4Alabama,21500,41,6,AL,200,1954,0.711,-0.061,20150103,NA,,,
Jimmy Panetta,Rep,RepJimmyPanetta,JImmyPanetta,21740,71,20,CA,100,1969,-0.303,0.036,20170103,NA,,,
Chris Pappas,Rep,RepChrisPappas,ChrisPappasNH,21951,4,1,NH,100,1980,-0.378,0.261,20190103,NA,,,
Bill Pascrell,Rep,BillPascrell,PascrellforNJ,29741,12,9,NJ,100,1937,-0.366,-0.005,19970103,NA,,,
Donald Payne Jr.,Rep,RepDonaldPayne,DonaldPayneJr,31103,12,10,NJ,100,1958,-0.516,-0.105,20121106,NA,,,
Nancy Pelosi,Rep,SpeakerPelosi,TeamPelosi,15448,71,12,CA,100,1940,-0.49,-0.206,19870602,NA,,,
Greg Pence,Rep,RepGregPence,GregPenceIN,21952,22,6,IN,200,1956,0.427,0.648,20190103,NA,,,
Ed Perlmutter,Rep,RepPerlmutter,Ed4Colorado,20705,62,7,CO,100,1953,-0.281,0.076,20070103,NA,,,
Scott Perry,Rep,RepScottPerry,PatriotsPerry,21356,14,10,PA,200,1962,0.627,-0.35,20130103,NA,,,
Scott Peters,Rep,RepScottPeters,ScottPetersSD,21315,71,52,CA,100,1958,-0.177,-0.052,20130103,NA,,,
Collin Peterson,Rep,,collinpeterson,29127,33,7,MN,100,1944,-0.148,0.713,19910103,NA,,,
Dean Phillips,Rep,RepDeanPhillips,deanbphillips,21953,33,3,MN,100,1969,-0.223,-0.053,20190103,NA,,,
Chellie Pingree,Rep,ChelliePingree,PingreeForME,20920,2,1,ME,100,1955,-0.421,-0.401,20090103,NA,,,
Stacey Plaskett,Rep,staceyplaskett,,NA,NA,NA,USVI,100,1966,NA,NA,20150103,NA,,,
Mark Pocan,Rep,RepMarkPocan,MarkRocan,21370,25,2,WI,100,1964,-0.542,-0.529,20130103,NA,,,
Katie Porter,Rep,RepKatiePorter,katieporteroc,21954,71,45,CA,100,1974,-0.172,0.08,20190103,NA,,,
Bill Posey,Rep,CongBillPosey,PoseyCampaign,20909,43,8,FL,200,1947,0.519,-0.316,20090103,NA,,,
Ayanna Pressley,Rep,RepPressley,AyannaPressley,21955,3,7,MA,100,1974,-0.283,-0.959,20190103,NA,,,
David Price,Rep,RepDavidEPrice,DPrice4Congress,15438,47,4,NC,100,1940,-0.343,-0.031,19970103,NA,,,
Mike Quigley,Rep,RepMikeQuigley,QuigleyCampaign,20954,21,5,IL,100,1958,-0.321,-0.285,20090407,NA,,,
Amata Coleman Radewagen,Rep,RepAmata,,NA,NA,NA,PR,200,1976,NA,NA,20150103,NA,,,
Jamie Raskin,Rep,RepRaskin,jamie_raskin,21741,52,8,MD,100,1962,-0.546,-0.23,20170103,NA,,,
John Ratcliffe,Rep,RepRatcliffe,,21549,49,4,TX,200,1965,0.695,0.113,20150103,NA,,,
Tom Reed,Rep,RepTomReed,TomReedCongress,21101,13,23,NY,200,1971,0.281,0.111,20101102,NA,,,
Guy Reschenthaler,Rep,GReschenthaler,reschenthaler,21956,14,14,PA,200,1983,0.358,0.401,20190103,NA,,,
Kathleen Rice,Rep,RepKathleenRice,KathleenRice,21540,13,4,NY,100,1965,-0.283,0.022,20150103,NA,,,
Tom Rice,Rep,RepTomRice,TomRiceSC7,21359,48,7,SC,200,1957,0.6,-0.274,20130103,NA,,,
Cedric Richmond,Rep,RepRichmond,CedricRichmond,21137,45,2,LA,100,1973,-0.483,0.328,20110103,NA,,,
Denver Riggleman,Rep,RepRiggleman,Denver4VA,21957,40,5,VA,200,1970,0.482,-0.053,20190103,NA,,,
Martha Roby,Rep,RepMarthaRoby,TeamRoby,21192,41,2,AL,200,1976,0.361,0.654,20110103,NA,,,
Phil Roe,Rep,DrPhilRoe,,20947,54,1,TN,200,1945,0.485,0.023,20090103,NA,,,
Hal Rogers,Rep,RepHalRogers,HalRogersKY5,14854,51,5,KY,200,1937,0.336,0.107,19810103,NA,,,
Mike Rogers,Rep,RepMikeRogersAL,MikeRogersCamp,20301,41,3,AL,200,1958,0.354,0.458,20030103,NA,,,
Francis Rooney,Rep,RepRooney,FrancisRooney,21742,43,19,FL,200,1953,0.513,-0.516,20170103,NA,,,
John Rose,Rep,RepJohnRose,JohnRoseforTN,21959,54,6,TN,200,1965,0.688,0.122,20190103,NA,,,
Max Rose,Rep,RepMaxRose,MaxRose4NY,21958,13,11,NY,100,1986,-0.171,0.131,20190103,NA,,,
Harley Rouda,Rep,RepHarley,HarleyRouda,21960,71,48,CA,100,1961,-0.326,0.522,20190103,NA,,,
David Rouzer,Rep,RepDavidRouzer,DavidRouzer,21544,47,7,NC,200,1972,0.573,0.183,20150103,NA,,,
Chip Roy,Rep,RepChipRoy,chiproytx,21961,49,21,TX,200,1972,0.8,-0.6,20190103,NA,,,
Lucille Roybal-Allard,Rep,RepRoybalAllard,,29317,71,40,CA,100,1941,-0.471,-0.19,19930103,NA,,,
Raul Ruiz,Rep,RepRaulRuizMD,Dr_RaulRuiz,21311,71,36,CA,100,1972,-0.241,0.062,20130103,NA,,,
Dutch Ruppersberger,Rep,Call_Me_Dutch,GoDutchForMD,20329,52,2,MD,100,1946,-0.295,0.133,20030103,NA,,,
Bobby Rush,Rep,RepBobbyRush,bobbybushfor1st,29346,21,1,IL,100,1946,-0.478,-0.201,19930103,NA,,,
John Rutherford,Rep,RepRutherfordFL,JRutherfordFL,21744,43,4,FL,200,1952,0.399,0.146,20170103,NA,,,
Tim Ryan,Rep,RepTimRyan,TimRyan,20343,24,13,OH,100,1973,-0.402,0.214,20030103,NA,,,
Gregorio Sablan,Rep,Kilili_Sablan,,NA,NA,NA,NMI,100,1955,NA,NA,20090103,NA,,,
Michael San Nicolas,Rep,GuamCongressman,,NA,NA,NA,GU,100,1981,NA,NA,20190103,NA,,,
Linda Sánchez,Rep,RepLindaSanchez,LindaTSanchez,20310,71,38,CA,100,1969,-0.508,-0.139,20030103,NA,,,
John Sarbanes,Rep,RepSarbanes,JohnSarbanes,20724,52,3,MD,100,1962,-0.468,-0.074,20070103,NA,,,
Steve Scalise,Rep,SteveScalise,SteveScaliseGOP,20759,45,1,LA,200,1965,0.563,0.154,20080503,NA,,,
Mary Gay Scanlon,Rep,RepMGS,marygayscanlon,21762,14,5,PA,100,1959,-0.467,-0.024,20181106,NA,,,
Jan Schakowsky,Rep,RepSchakowsky,JanSchakowsky,29911,21,9,IL,100,1944,-0.607,-0.269,19990103,NA,,,
Adam Schiff,Rep,RepAdamSchiff,AdamSchiff,20104,71,28,CA,100,1960,-0.349,-0.129,20010103,NA,,,
Brad Schneider,Rep,repschneider,Schneider4IL10,21326,21,10,IL,100,1961,-0.17,-0.206,20170103,NA,,,
Kurt Schrader,Rep,RepSchrader,VoteSchrader,20944,72,5,OR,100,1951,-0.191,0.063,20090103,NA,,,
Kim Schrier,Rep,RepKimSchrier,DrKimSchrier,21962,73,8,WA,100,1968,-0.34,0.447,20190103,NA,,,
David Schweikert,Rep,RepDavid,DavidSchweikert,21105,61,6,AZ,200,1962,0.593,-0.33,20110103,NA,,,
Austin Scott,Rep,,AustinScottGA08,21123,44,8,GA,200,1969,0.571,0.174,20110103,NA,,,
David Scott,Rep,RepDavidScott,Electdavidscott,20321,44,13,GA,100,1945,-0.301,0.163,19930103,NA,,,
Bobby Scott,Rep,BobbyScott,BobbyScott4VA3,39307,40,3,VA,100,1947,-0.45,0.015,20030103,NA,,,
Jim Sensenbrenner,Rep,JimPressOffice,,14657,25,5,WI,200,1943,0.64,-0.587,19790103,NA,,,
José E. Serrano,Rep,RepJoseSerrano,,29134,13,15,NY,100,1943,-0.491,-0.376,19900320,NA,,,
Terri Sewell,Rep,RepTerriSewell,Sewell4Congress,21102,41,7,AL,100,1965,-0.39,0.401,20110103,NA,,,
Donna Shalala,Rep,RepShalala,DonnaShalala,21963,43,27,FL,100,1941,-0.369,-0.075,20190103,NA,,,
Brad Sherman,Rep,BradSherman,,29707,71,30,CA,100,1954,-0.342,-0.148,19970103,NA,,,
Mikie Sherrill,Rep,RepSherrill,MikieSherrill,21964,12,11,NJ,100,1972,-0.177,0.259,20190103,NA,,,
John Shimkus,Rep,RepShimkus,,29718,21,15,IL,200,1958,0.374,0.148,19970103,NA,,,
Mike Simpson,Rep,CongMikeSimpson,MikeSimpson4ID,29910,63,2,ID,200,1950,0.296,0.282,19990103,NA,,,
Albio Sires,Rep,RepSires,AlbioSiresNJ,20542,12,8,NJ,100,1951,-0.405,0.095,20061107,NA,,,
Elissa Slotkin,Rep,RepSlotkin,ElissaSlotkin,21965,23,8,MI,100,1976,-0.309,0.798,20190103,NA,,,
Adam Smith,Rep,RepAdamSmith,electadamsmith,29768,73,9,WA,100,1965,-0.284,-0.16,19970103,NA,,,
Adrian Smith,Rep,RepAdrianSmith,,20729,35,3,NE,200,1970,0.515,0.186,20070103,NA,,,
Christopher Smith,Rep,RepChrisSmith,,14863,12,4,NJ,200,1953,0.164,-0.168,19810103,NA,,,
Jason Smith,Rep,RepJasonSmith,JasonSmithMO,21373,34,8,MO,200,1980,0.595,0.209,20130604,NA,,,
Lloyd Smucker,Rep,RepSmucker,LloydSmuckerPA,21745,14,11,PA,200,1964,0.42,0.267,20170103,NA,,,
Darren Soto,Rep,RepDarrenSoto,DarrenSoto,21746,43,9,FL,100,1978,-0.381,0.119,20170103,NA,,,
Abigail Spanberger,Rep,RepSpanberger,SpanbergerVA07,21966,40,7,VA,100,1979,-0.187,0.501,20190103,NA,,,
Ross Spano,Rep,RepRossSpano,RossSpano,21967,43,15,FL,200,1966,0.45,-0.011,20190103,NA,,,
Jackie Speier,Rep,RepSpeier,JackieSpeier,20762,71,14,CA,100,1950,-0.381,-0.448,20080408,NA,,,
Greg Stanton,Rep,RepGregStanton,gregstantonaz,21968,61,9,AZ,100,1970,-0.299,-0.125,20190103,NA,,,
Pete Stauber,Rep,RepPeteStauber,PeteStauber,21969,33,8,MN,200,1966,0.289,0.203,20190103,NA,,,
Elise Stefanik,Rep,RepStefanik,EliseStefanik,21541,13,21,NY,200,1984,0.218,0.003,20150103,NA,,,
Bryan Steil,Rep,RepBryanSteil,BryanSteil,21970,25,1,WI,200,1981,0.417,-0.068,20190103,NA,,,
Greg Steube,Rep,RepGregSteube,gregsteube,21971,43,17,FL,200,1978,0.651,-0.335,20190103,NA,,,
Haley Stevens,Rep,RepHaleyStevens,HaleyLive,21972,23,11,MI,100,1983,-0.372,0.512,20190103,NA,,,
Chris Stewart,Rep,RepChrisStewart,StewartforUtah,21367,67,2,UT,200,1960,0.529,0.153,20130103,NA,,,
Steve Stivers,Rep,RepSteveStivers,stevestivers,21163,24,15,OH,200,1965,0.297,0.271,20110103,NA,,,
Thomas Suozzi,Rep,RepTomSuozzi,Tom_Suozzi,21747,13,3,NY,100,1962,-0.207,0.083,20170103,NA,,,
Eric Swalwell,Rep,RepSwalwell,ericswalwell,21306,71,15,CA,100,1980,-0.368,-0.11,20130103,NA,,,
Mark Takano,Rep,RepMarkTakano,MarkTakano,21312,71,41,CA,100,1960,-0.462,-0.257,20130103,NA,,,
Van Taylor,Rep,RepVanTaylor,VanTaylorTX,21973,49,3,TX,200,1972,0.549,-0.158,20190103,NA,,,
Bennie Thompson,Rep,BennieGThompson,BGThompsonMS,29368,46,2,MS,100,1948,-0.516,0.399,19930413,NA,,,
Glenn Thompson,Rep,CongressmanGT,GT_TeamGT,20946,14,15,PA,200,1959,0.309,0.387,20090103,NA,,,
Mike Thompson,Rep,RepThompson,Mike_CA05,29901,71,5,CA,100,1951,-0.395,0.064,19990103,NA,,,
Mac Thornberry,Rep,MacTXPress,MacThornberry,29572,49,13,TX,200,1958,0.524,0.309,19950103,NA,,,
Tom Tiffany,Rep,RepTiffany,TomTiffanyWI,21989,25,7,WI,200,1957,0.642,-0.177,20200512,NA,,,
William Timmons,Rep,RepTimmons,VoteTimmons,21974,48,4,SC,200,1984,0.593,0.157,20190103,NA,,,
Scott Tipton,Rep,RepTipton,ScottRTipton,21111,62,3,CO,200,1956,0.447,-0.025,20110103,NA,,,
Dina Titus,Rep,RepDinaTitus,dinatitus,20927,65,1,NV,100,1950,-0.302,-0.217,20130103,NA,,,
Rashida Tlaib,Rep,RepRashida,RashidaTlaib,21975,23,13,MI,100,1976,-0.289,-0.957,20190103,NA,,,
Paul Tonko,Rep,RepPaulTonko,PaulTonko,20934,13,20,NY,100,1949,-0.421,-0.264,20090103,NA,,,
Xochitl Torres Small,Rep,RepTorresSmall,XochforCongress,21976,66,2,NM,100,1984,-0.155,0.256,20190103,NA,,,
Norma Torres,Rep,NormaJTorres,Norma4Congress,21508,71,35,CA,100,1965,-0.362,0.029,20150103,NA,,,
Lori Trahan,Rep,RepLoriTrahan,latrahan,21977,3,3,MA,100,1973,-0.476,-0.196,20190103,NA,,,
David Trone,Rep,repdavidtrone,davidjtrone,21978,52,6,MD,100,1955,-0.269,-0.104,20190103,NA,,,
Mike Turner,Rep,RepMikeTurner,MikeTurnerOH,20342,24,10,OH,200,1960,0.27,0.207,20030103,NA,,,
Lauren Underwood,Rep,RepUnderwood,LaurenUnderwood,21979,21,14,IL,100,1986,-0.568,0.623,20190103,NA,,,
Fred Upton,Rep,RepFredUpton,UptonForAllOfUs,15446,23,6,MI,200,1953,0.335,-0.383,19870103,NA,,,
Jeff Van Drew,Rep,CongressmanJVD,VanDrewForNJ,21980,12,2,NJ,100,1953,-0.147,0.644,20190103,NA,,,
Juan Vargas,Rep,RepJuanVargas,,21314,71,51,CA,100,1961,-0.397,0.103,20130103,NA,,,
Marc Veasey,Rep,RepVeasey,MarcVeasey,21365,49,33,TX,100,1971,-0.402,0.286,20130103,NA,,,
Filemon Vela Jr.,Rep,RepFilemonVela,FilemonVela,21366,49,34,TX,100,1963,-0.312,0.415,20130103,NA,,,
Nydia Velázquez,Rep,NydiaVelazquez,ReElectNydia,29378,13,7,NY,100,1953,-0.547,-0.338,19930103,NA,,,
Pete Visclosky,Rep,RepVisclosky,TeamVisclosky,15124,22,1,IN,100,1949,-0.402,0.244,19850103,NA,,,
Ann Wagner,Rep,RepAnnWagner,AnnLWagner,21337,34,2,MO,200,1962,0.452,0.149,20130103,NA,,,
Tim Walberg,Rep,RepWalberg,TimWalberg,20725,23,7,MI,200,1951,0.517,0.065,20110103,NA,,,
Greg Walden,Rep,RepGregWalden,voterepgregwalden,29932,72,2,OR,200,1957,0.334,-0.014,19990103,NA,,,
Mark Walker,Rep,RepMarkWalker,Walker4NC,21543,47,6,NC,200,1969,0.64,0.024,20150103,NA,,,
Jackie Walorski,Rep,RepWalorski,jackiewalorski,21330,22,2,IN,200,1963,0.428,0.31,20130103,NA,,,
Michael Waltz,Rep,RepMichaelWaltz,michaelgwaltz,21981,43,6,FL,200,1974,0.395,-0.14,20190103,NA,,,
Debbie Wasserman Schultz,Rep,RepDWStweets,DWStweets,20504,43,23,FL,100,1966,-0.421,0.067,20050103,NA,,,
Maxine Waters,Rep,RepMaxineWaters,MaxineWaters,29106,71,43,CA,100,1938,-0.653,-0.071,19910103,NA,,,
Steve Watkins,Rep,Rep_Watkins,Steve4Kansas,21982,32,2,KS,200,1976,0.556,0.056,20190103,NA,,,
Bonnie Watson Coleman,Rep,RepBonnie,Bonnie4Congress,21538,12,12,NJ,100,1945,-0.626,-0.13,20150103,NA,,,
Randy Weber,Rep,TXRandy14,WeberforTexas,21360,49,14,TX,200,1953,0.706,0.053,20130103,NA,,,
Daniel Webster,Rep,RepWebster,WebsterCongress,21116,43,11,FL,200,1949,0.508,-0.044,20110103,NA,,,
Peter Welch,Rep,PeterWelch,WelchForVT,20750,6,1,VT,100,1947,-0.41,-0.349,20070103,NA,,,
Brad Wenstrup,Rep,RepBradWenstrup,bradwenstrup,21351,24,2,OH,200,1958,0.552,0.168,20130103,NA,,,
Bruce Westerman,Rep,RepWesterman,WestermanAR,21563,42,4,AR,200,1967,0.548,0.36,20150103,NA,,,
Jennifer Wexton,Rep,RepWexton,JenniferWexton,21983,40,10,VA,100,1968,-0.376,0.448,20190103,NA,,,
Susan Wild,Rep,RepSusanWild,wildforcongress,21763,14,7,PA,100,1957,-0.399,0.683,20181106,NA,,,
Roger Williams,Rep,RepRWilliams,RogerWilliamsTX,21364,49,25,TX,200,1949,0.588,0.092,20130103,NA,,,
Joe Wilson,Rep,RepJoeWilson,TeamJoeWilson,20138,48,2,SC,200,1947,0.538,0.108,20110103,NA,,,
Frederica Wilson,Rep,RepWilson,FSWInTheHouse,21118,43,24,FL,100,1942,-0.475,-0.017,20011218,NA,,,
Rob Wittman,Rep,RobWittman,ReElectWittman,20756,40,1,VA,200,1959,0.444,-0.022,20071211,NA,,,
Steve Womack,Rep,Rep_SteveWomack,womack4congress,21108,42,3,AR,200,1957,0.353,0.586,20110103,NA,,,
Rob Woodall,Rep,RepRobWoodall,,21122,44,7,GA,200,1970,0.601,-0.202,20110103,NA,,,
Ron Wright,Rep,RepRonWright,ron4congress,21984,49,6,TX,200,1953,0.736,-0.05,20190103,NA,,,
John Yarmuth,Rep,RepJohnYarmuth,,20723,51,3,KY,100,1947,-0.378,-0.27,20070103,NA,,,
Ted Yoho,Rep,RepTedYoho,TedYoho,21317,43,3,FL,200,1955,0.703,-0.366,20130103,NA,,,
Don Young,Rep,RepDonYoung,DonYoungAK,14066,81,1,AK,200,1933,0.284,0.023,19730306,NA,,,
Lee Zeldin,Rep,RepLeeZeldin,leezeldin,21539,13,1,NY,200,1980,0.387,-0.134,20150103,NA,,,
Lamar Alexander,Sen,SenAlexander,LamarAlexander,40304,54,0,TN,200,1940,0.323,-0.175,20030103,NA,,,
Tammy Baldwin,Sen,SenatorBaldwin,tammybaldwin,29940,25,0,WI,100,1962,-0.5,-0.184,20130103,NA,,,
John Barrasso,Sen,SenJohnBarrasso,barrassoforwyo,40707,68,0,WY,200,1952,0.54,0.236,20070625,NA,,,
Michael Bennet,Sen,SenatorBennet,MichaelBennet,40910,62,0,CO,100,1964,-0.219,-0.153,20090121,NA,,,
Marsha Blackburn,Sen,MarshaBlackburn,VoteMarsha,20351,54,0,TN,200,1952,0.617,0.133,20190103,NA,,,
Richard Blumenthal,Sen,SenBlumenthal,DickBlumenthal,41101,1,0,CT,100,1946,-0.431,-0.077,20110103,NA,,,
Roy Blunt,Sen,RoyBlunt,RoyBluntMO,29735,34,0,MO,200,1950,0.427,0.281,20110103,NA,,,
Cory Booker,Sen,SenBooker,CoryBooker,41308,12,0,NJ,100,1969,-0.609,-0.205,20131031,NA,,,
John Boozman,Sen,JohnBoozman,Boozman4AR,20101,42,0,AR,200,1950,0.4,0.246,20110103,NA,,,
Mike Braun,Sen,SenatorBraun,braun4indiana,41900,22,0,IN,200,1954,0.8,0.6,20190103,NA,,,
Sherrod Brown,Sen,SenSherrodBrown,SherrodBrown,29389,24,0,OH,100,1952,-0.431,-0.118,20070103,NA,,,
Richard Burr,Sen,SenatorBurr,BurrForSenate,29548,47,0,NC,200,1955,0.45,-0.055,20050103,NA,,,
Maria Cantwell,Sen,SenatorCantwell,MariaCantwell,39310,73,0,WA,100,1958,-0.299,-0.402,20010103,NA,,,
Shelley Moore Capito,Sen,SenCapito,CapitoforWV,20146,56,0,WV,200,1953,0.262,0.058,20150103,NA,,,
Ben Cardin,Sen,SenatorCardin,BenCardinforMD,15408,52,0,MD,100,1943,-0.321,-0.232,20070103,NA,,,
Tom Carper,Sen,SenatorCarper,TomCarperforDE,15015,11,0,DE,100,1947,-0.175,-0.23,20010103,NA,,,
