Amen!  Titan Up! https://t.co/Wyf7bY764l,2020-01-12 14:26:51,Twitter Web App,11,33
It was great to hear from the President last night. Looking forward to working together to take back the House and re-elect @realDonaldTrump next year! https://t.co/KdHTk5EfyZ,2019-09-13 11:42:33,Twitter for iPhone,2,22
Every soldier remembers where they were on 9/11 and how we chose to serve our fellow Americans afterward. I shared my thoughts in an op-ed last year check them out here. #NeverForget https://t.co/zYYJqKMQ71,2019-09-11 11:53:05,Twitter for iPhone,6,29
Congratulations @jdanbishop on a hard-fought victory! Looking forward to working with you in Congress to keep America great. 19 more to go to regain the Majority! https://t.co/v0lEe0wZGf,2019-09-11 02:24:10,Twitter for iPhone,3,21
It was an honor to campaign for @jdanbishop last month. NC09 get out and #VoteBishop today! https://t.co/5neuWDcxJc,2019-09-10 13:13:55,Twitter for iPhone,1,10
Couldn’t agree more! https://t.co/otFPGncus4,2019-09-09 12:42:24,Twitter for iPhone,1,7
Why I support Trout Unlimited’s efforts to protect the natural waters and especially trout fisheries. A little weekend of R&amp;R before heading back to DC for session! Sorry I have been unavailable. No cell phone coverage for a few days. https://t.co/OzfopsIjnP,2019-09-08 22:54:38,Twitter for iPhone,3,28
Have you ordered one of our new #BetsyRoss Flag T-Shirts yet? Check them out here and order one today! https://t.co/thZCbjQvcG https://t.co/XKXxwYHBxh,2019-09-04 15:57:20,Twitter for iPhone,0,9
Mayor Briley needs to follow the law—instead of play politics now that he’s falling behind in his race for re-election. (2/2) https://t.co/SgRF5JLGe3,2019-09-03 19:55:16,Twitter for iPhone,2,14
As I’ve traveled the 7th district over the August recess the #1 thing I’m hearing from Tennesseans is they want our immigration laws enforced. I was proud to sponsor the bill in the State Senate adding teeth to our anti-sanctuary cities laws. (1/2),2019-09-03 19:53:26,Twitter for iPhone,9,27
I recently went to North Carolina to support @jdanbishop’s campaign for Congress. I joined him for a roundtable with local veterans. Check out why I think Dan is exactly who North Carolina’s veterans need in Congress.  https://t.co/SJtg7tsNoh,2019-08-29 13:17:15,Twitter for iPhone,4,9
Tickets for our 2nd Annual Fish Fry are going fast! Make sure to get yours today—and you can also order our new Betsy Ross Flag t-shirt for a discounted price when you get your ticket! https://t.co/eowuuLv7Ox,2019-08-26 13:46:59,Twitter for iPhone,3,6
Congratulations Speaker @CSexton25! https://t.co/O140XS2WUi,2019-08-23 16:50:19,Twitter for iPhone,0,7
Tickets are going fast! Join us for our 2nd Annual Old Fashioned Fish Fry - A Salute to Our Veterans on Nov. 9. We’ll have the fixins and a great time celebrating our veterans with all our friends! https://t.co/eowuuLv7Ox,2019-08-20 12:27:56,Twitter for iPhone,1,8
Honored to join a roundtable with local veterans in Fayetteville to support @jdanbishop campaign for Congress. Dan is the indisputable choice for North Carolina's 9th district! https://t.co/z6rIzTTzpb,2019-08-19 21:51:49,Twitter for iPhone,0,7
Just landed here in Fayetteville NC where Camie and I lived and where our daughter was born back when I commanded an Infantry Company in the 82nd ABN. Proud to be here to help elect a conservative @jdanbishop to the US House of Representatives!,2019-08-19 16:02:41,Twitter for iPhone,0,18
Happy 229th birthday to the U.S. Coast Guard! #SemperParatus https://t.co/3erTKRDvcF,2019-08-04 20:58:51,Twitter for iPhone,0,9
The real winner of the #DemDebate? @realDonaldTrump. Since his policies are working for America it’s no wonder the Dems spent two nights trying to tear each other down instead of engaging in substantive debate. Let’s get President Trump re-elected in 2020!,2019-08-01 13:26:40,Twitter for iPhone,5,21
My interview in Foreign Policy Journal: Congress to China: ‘Stop Stealing Our Stuff’ – Foreign Policy https://t.co/apDhUGnIIq,2019-07-26 19:49:26,Twitter for iPhone,1,14
I don’t usually retweet CNN stuff but this is truth! https://t.co/vGUQwjQCvg,2019-07-23 19:41:12,Twitter for iPhone,3,18
Thanks to everyone for joining us at our 2nd annual Red White &amp; Blues tonight! Camie and I are so grateful for your friendship and support. 🇺🇸 https://t.co/sbf1QAl25l,2019-07-21 00:06:31,Twitter for iPhone,1,25
Get your tickets today if you haven’t yet! We only have a few tickets left! https://t.co/L7x7nFjt9Z,2019-07-18 22:20:25,Twitter for iPhone,0,2
@allencoffman If you want to get involved I think Chattanooga is starting an initiative like Knoxville has that recruits and manages donated MED services.  It’s really cool.  IM me and will connect you.  Thanks for your interest.,2019-07-14 16:57:25,Twitter for iPhone,0,1
@allencoffman Clarksville: food bank Mana Cafe expanding to mobile clinics this year Memphis inside True Vines Baptist Church.  The one in Memphis is temp closed due to const. It was overwhelmed and so decided to make it bigger.  Church converting an old school and will reopen this year.,2019-07-14 16:55:21,Twitter for iPhone,0,1
Thanks @TeamTNCR! Looking forward to speaking to the @CRNC Convention today! You all are our future. https://t.co/COSjyQ9L7W,2019-07-12 15:09:39,Twitter for iPhone,4,14
Absolutely—we have a lot of work to do for Tennessee! https://t.co/mlKiJu1SSv,2019-07-12 12:54:12,Twitter for iPhone,2,17
Looking forward to continuing to fight alongside you for Tennessee values! https://t.co/PjwoOpv12i,2019-07-12 12:52:20,Twitter for iPhone,2,21
Thanks Leader @SenJohnson! It’s a privilege serving with you. https://t.co/gchUnHMbjx,2019-07-11 21:19:13,Twitter for iPhone,1,7
Thank you @VoteMarsha! Looking forward to continuing to work with you for the great people of #TN07. https://t.co/1MaZXa3Sgr,2019-07-11 20:25:03,Twitter for iPhone,1,11
I’ve been honored and humbled by everyone asking me to run for the U.S. Senate. I do not plan to seek election to the U.S. Senate in 2020. Instead I’ll be in the trenches to #KeepAmericaGreat by re-electing @realDonaldTrump and to #TakeBackTheHouse.  https://t.co/QJ8MUDT9Nz,2019-07-11 20:10:02,Twitter for iPhone,0,16
Thoughts? 🤷‍♂️ https://t.co/QOxq117z0V,2019-07-03 19:08:45,Twitter for iPhone,7,16
Bingo! https://t.co/fjrULzkmf5,2019-06-25 11:12:38,Twitter for iPhone,1,13
A great win for religious liberty! 🇺🇸 https://t.co/CRmlc1NMcR,2019-06-20 15:56:08,Twitter for iPhone,3,12
“Congratulations to my good friend and mentor Dr. Art Laffer on being awarded the Presidential Medal of Freedom by President @realDonaldTrump today! America is better off because of your leadership and influence.” https://t.co/B2Aa1zKtaW,2019-06-19 23:27:37,Twitter for iPhone,1,19
Honored to present the @TNGOP Statesman of the Year award to Jim Huggins on behalf of his late beloved wife Joy Huggins. Thank you Joy for all you did for our Party and our country! We miss you but will see you again. God bless your family and everyone you’ve impacted. https://t.co/uGityeLls4,2019-06-16 01:34:41,Twitter for iPhone,5,41
Happy birthday @realDonaldTrump! Thanks for all you’re doing to make America great again! https://t.co/2XNUmnsEAU,2019-06-14 17:06:08,Twitter for iPhone,1,10
Happy birthday @USArmy! https://t.co/ERifYKdu0Q,2019-06-14 14:35:58,Twitter for iPhone,1,6
I’m proud to lead the fight against illegal immigration. #WhyItMatters #TNGOP https://t.co/caVI61WtXj,2019-06-11 21:14:44,Twitter for iPhone,9,31
Happy birthday Vice President @mike_pence! https://t.co/GyLyomWhWF,2019-06-07 14:58:46,Twitter for iPhone,1,18
House Democrats have been in charge five months and instead of providing funding to secure our border they are investigating our President nonstop—and now think Congress deserves a raise. I strongly disagree! Let me know your thoughts below. https://t.co/lKO7jMv23L,2019-06-05 14:18:01,Twitter for iPhone,2,10
Happy 223rd birthday Tennessee! https://t.co/bqc3hqbrZI,2019-06-01 16:26:44,Twitter for iPhone,4,12
Every day since I've tried my hardest to fulfill that duty--and I'm deeply honored to continue serving our country in Congress today. (2/2),2019-05-29 02:00:01,Twitter for iPhone,1,28
33 years ago ​today I graduated from West Point. There at the base of the statute of Gen. MacArthur is a quote I had to memorize as a cadet: “Duty honor country: Those three hallowed words reverently dictate what you ought to be what you can be what you will be." (1/2) https://t.co/ntxTdyAu1R,2019-05-29 01:59:35,Twitter for iPhone,3,67
Happy Mother’s Day to the woman who quoted verses imparted wisdom and cared for us all through many trials! God bless you Mom!! https://t.co/5CStiaQI8W,2019-05-12 19:24:18,Twitter for iPhone,2,54
It was great to keynote the McNairy County Republican Women’s Lincoln Day Dinner last night and to be with these hardworking Republicans as they celebrated the last three Democratic elected officials in the county officially become Republicans this week! https://t.co/retRbaqQEF,2019-05-05 22:11:01,Twitter for iPhone,0,19
Well done Senator Bill Powers! @wmspowers worked hard and it was an honor to introduce him tonight as the next TN Senator for District 22!,2019-04-24 03:53:17,Twitter for iPhone,3,29
Today Good Friday is a very special day for Christians. But I believe there is something that everyone can take away from the meaning of this day. My thoughts here —&gt; https://t.co/PTPRkRQLg5 https://t.co/AmHLJCVLw5,2019-04-19 13:48:48,Twitter for iPhone,4,21
Hope you’ll join me in voting for Bill Powers for State Senate! Bill will do a fantastic job for Montgomery Houston and Stewart Counties as our next State Senator. https://t.co/zJQKzKHUCn,2019-04-17 23:13:02,Twitter for iPhone,6,27
It was an honor to join friends old and new in standing for life in Giles County this weekend. I'm proud some of my first bills I've co-sponsored are to defund Planned Parenthood protect babies once born and prohibit abortions once babies can feel pain. https://t.co/R9pAloS9DX,2019-04-17 01:13:46,Twitter for iPhone,0,18
Great night at the Army Aviation Hall of Fame Induction Ceremony.  Awesome to see LTG Mangum the guy who interviewed and hired me into The Nightstalkers inducted! NSDQ! https://t.co/TcfUtWDEF3,2019-04-16 04:20:54,Twitter for iPhone,3,34
Winter is here!!!,2019-04-15 00:56:57,Twitter for iPhone,1,18
Honored to be with 400 dedicated Republicans in Williamson County this morning as they elected their new Party leadership! https://t.co/6QOYpwbaZJ,2019-04-13 21:01:38,Twitter for iPhone,2,19
I joined Fox News this morning to talk about the latest on immigration. Check out my thoughts here! https://t.co/oxWYYB9uMh,2019-04-12 14:54:23,Twitter for iPhone,0,8
Today on Gold Star Spouses Day we honor the indescribable sacrifices made by Gold Star spouses across the country—and we commit to continue to honor our promises to them. That’s why I introduced a bipartisan bill earlier this year to do just that. https://t.co/vVXd74n4C0,2019-04-05 14:52:56,Twitter for iPhone,8,23
Thanks for the support! Great to be with all our hardworking Republican women who are keeping TN red! https://t.co/BR9jCFyHaU,2019-04-01 17:19:20,Twitter for iPhone,1,11
The reason America responded that way is because of the lesson we learned at the expense of our brothers and sisters who fought in Vietnam: You can hate the war but never the warrior.  Let us never forget that lesson. #VietnamWarVeteransDay (2/2),2019-03-29 13:11:20,Twitter for iPhone,8,25
