I don’t wish COVID19 on anyone...but 🤬 wear a mask already! https://t.co/xefpqUhkhu,2020-11-21 00:04:51,Twitter for iPhone,1,2,covid; 
I stand with the UC Student Workers’ Union in opposing another Trump rule inspired by hate. Directing @DHSgov @ICEgov to ban 1 million int’l students from completing their studies in the U.S. if moved online due to #COVID19 makes no sense for educational &amp; economical growth. https://t.co/RJYoRq9GY3,2020-07-14 16:31:07,Twitter for iPhone,5,11,covid; 
I stood in #solidarity this morning with @Teamster630 as their #EssentialWorkers #strike for fair treatment &amp; bargaining. During the #Covid19 crisis it is more important than ever to fight for justice especially for our frontline workers &amp; their families. ¡Si se puede! https://t.co/fzzBrHwqlH,2020-07-09 19:56:59,Twitter for iPhone,6,8,covid; 
#COVID19 is a health crisis &amp; an environmental justice crisis! LA County #Latinos represent 44% of our COVID-related deaths &amp; are the same vulnerable group impacted by pollution climate change &amp; its health complications.   Coincidence? I think not. https://t.co/GuJj0oZZy4,2020-07-07 16:47:07,Twitter Web App,1,2,covid; 
Showing up for our #EssentialWorkers can be done a number of ways - 1. Fight for them in Congress 2. Wear a mask to mitigate #COVID spread and 3. Send donuts for an early morning strike 🙂   @SEIU121RN we have your back! https://t.co/tjc7DUGCaJ,2020-07-02 17:07:57,Twitter for iPhone,5,9,covid; 
Plain and simple. Wear a mask!   #covid19isreal https://t.co/pW5TxquAV7,2020-07-02 14:35:41,Twitter for iPhone,3,13,covid; 
.@HouseDemocrats have a bold response to the Coronavirus and the economic fallout...⬇️ #HeroesAct https://t.co/zDpbHfzUEQ,2020-05-12 21:18:44,Twitter for iPhone,1,2,corona; 
Hey Trey your privilege is showing.  We know you can’t relate to any of the groups who are disproportionately getting and dying from COVID19: Latinos African Americans seniors or the poor.   So shush!  Be quiet! 🤫 https://t.co/2K6DLTye4a,2020-04-15 06:50:21,Twitter for iPhone,1,16,covid; 
Joined my @HispanicCaucus colleagues on calling “on the three largest insulin manufacturers to answer how they are lowering the price of insulin to ensure this viral life-saving medication is affordable and accessible in during the #COVID19 crisis.” ⬇️ https://t.co/M4mauLXNg0,2020-04-10 20:32:58,Twitter for iPhone,4,15,covid; 
Safer at home. What you can and can’t do. #Covid_19 #CA34 https://t.co/gHAlipMt4e,2020-03-20 22:52:01,Twitter for iPhone,3,6,covid; 
Democrats will work to make sure this 3rd Stimulus bill puts #FamiliesFirst   And rest assured there will be other stimulus bills after this one to confront the #coronavirus help working individuals &amp; rebuild our economy.    Stay calm and look out for one another.   #COVID19 https://t.co/DESfBBxWqS,2020-03-20 19:56:04,Twitter for iPhone,1,4,covid; corona; 
Instead of trying to warn the American people to take the #coronavirus seriously Republican Senator Richard Burr sells his stock!   Just disgusting. https://t.co/fBjdUvmR0H,2020-03-20 02:33:51,Twitter for iPhone,18,39,corona; 
Must watch.   Not surprised. But still disgusting.   #coronavirus #COVID19 https://t.co/mRTrGskTTj,2020-03-18 15:41:39,Twitter for iPhone,5,8,covid; corona; 
#SocialDistancing saves lives.   Stand or sitting 6 feet apart helps #FlattenTheCurve   #COVID19 https://t.co/cQBqqo696E,2020-03-17 04:54:29,Twitter for iPhone,1,5,covid; 
Yes this happened in a middle of a crisis.  Republican House Representative #LouieGohmert held up for more than 8 hours technical changes to the #FamiliesFirst Coronavirus Response Act. He finally relented &amp; allowed it to pass on unanimous consent.  Yep what a jackass. https://t.co/LZz19egp1m,2020-03-17 00:44:17,Twitter for iPhone,3,22,corona; 
I want to give big props to workers at @vons for wearing gloves and being thoughtful in what they touched or didn’t. Everyone doing their part will #FlattenTheCurve #COVIDー19,2020-03-16 01:29:53,Twitter for iPhone,1,10,covid; 
Tip: Before rushing out to buy cleaning supplies take a quick inventory of what you have around the house. Check the garage under sinks closets. Everything you need might be within arms reach.   #flatteningthecurve #COVIDー19 https://t.co/kNMuA6kPWj,2020-03-15 20:55:07,Twitter for iPhone,3,17,covid; 
Flying home now.  I’m proud to have voted for the #FamiliesFirst Coronavirus Response Act allocating tens of billions of dollars for paid sick leave unemployment insurance free testing  for everyone and other items to help Americans impacted by the crisis. #CA34 #COVID https://t.co/wqt4yhPzpz,2020-03-14 15:56:44,Twitter for iPhone,3,25,covid; corona; 
Esto es lo que los adultos mayores pueden hacer para prepararse y protegerse contra el coronavirus. https://t.co/P5pb1vseSS,2020-03-12 21:09:48,Twitter for iPhone,1,1,corona; 
Here’s how older adults can prepare and protect themselves from the novel coronavirus. https://t.co/GxriwayCPB,2020-03-12 21:09:25,Twitter for iPhone,1,2,corona; 
Making sure people can be tested for Coronavirus is NOT ideological.   Making sure workers can take time off if they have Coronavirus is NOT ideological.   Making sure children who rely on a free school lunch can eat is NOT ideological.   #FamiliesFirst https://t.co/tYZxqEvJDB,2020-03-12 17:05:29,Twitter for iPhone,4,18,corona; 
Watch my interview w/ @andersoncooper on @AC360  Dealing w/the Coronavirus is about protecting the American people. I will continue to hold this administration accountable to force them to get their act together. Their response to this crisis is unacceptable &amp; inadequate. #CA34 https://t.co/hjQM5sX3az,2020-02-29 02:21:43,Twitter for iPhone,17,34,corona; 
