China's cover-up of the COVID-19 crisis isn't just negligence it's criminal in nature. We must hold China accountable.  https://t.co/hpJvTUaFtG,2020-05-13 01:41:24,Twitter for iPhone,2,5,covid; 
Thank you to the nurses who have been serving during these challenging times. They are true heroes during this fight against COVID-19. #NationalNursesDay https://t.co/NWCEsW7JTi,2020-05-06 15:18:39,Twitter Web App,0,5,covid; 
2/2... We have endured droughts floods extreme blizzards the Great Depression World Wars and pandemics. Working together we will get through the COVID-19 outbreak and we will be stronger than ever. #SouthDakotaStrong https://t.co/HdV61700sU,2020-04-06 00:12:32,Twitter Web App,1,5,covid; 
