Yet another person present at the White House on Saturday has tested positive for COVID-19.  The White House's refusal to require masks isn't just a terrible failure of leadership -- it is endangering lives. https://t.co/cazK7zegsd,2020-10-02 20:27:06,Twitter Web App,99,221,covid; 
My best wishes for a speedy recovery to the President the First Lady Hope Hicks Ronna McDaniel and the millions dealing with this terrible disease.  COVID-19 spares no one and we all must do our best to look out for the health and safety of one another.  Please wear a mask.,2020-10-02 15:19:43,Twitter Web App,6,69,covid; 
Over 7 million Americans have contracted COVID-19.   Over 205000 have died.  Trump has no plan. https://t.co/tp2pA6nuSm,2020-09-30 21:20:40,Twitter for iPhone,84,219,covid; 
We had an excellent @HouseScience hearing this week on COVID-19 data management and public health infrastructure. Here's my exchange with @JohnsHopkinsSPH's Dr. Lisa Maragakis about the damage done by political interference with public health data at CDC: https://t.co/zVq0lmltj2,2020-09-26 15:37:00,Twitter Media Studio,9,18,covid; 
The economy badly needs a negotiated deal to provide additional government assistance.  American families need help and the need will grow if COVID-19 case counts increase.  Getting this done and fighting the pandemic should be the top priority in Washington. Lives depend on it. https://t.co/8yuKgrVmR7,2020-09-24 13:15:17,Twitter for iPhone,8,26,covid; 
STARTING SOON: In a few minutes I will gavel in our 2:30 @JECDems hearing on COVID-19 and the economy featuring witnesses @ashishkjha and @Austan_Goolsbee.  Given today's news this is a particularly urgent topic.   Watch it live: https://t.co/R3dJWU82nB,2020-09-22 18:23:00,TweetDeck,13,13,covid; 
Donald Trump was warned repeatedly by scientists medical experts and intelligence officials of the deadly danger of COVID-19.  Instead of sharing these facts with the country or using them to craft a strategy to keep people safe he lied to us.  200000 Americans have now died.,2020-09-19 18:08:02,Twitter for iPhone,91,208,covid; 
This was not true when Trump said it in February.  It wasn’t true in March when he said “I like to play it down.”  It is not true today 195000 American deaths later.  COVID-19 is not going to just “disappear.” Making that the strategy leads to more preventable deaths. https://t.co/ZmJbljXqjW,2020-09-16 01:27:07,Twitter for iPhone,15,37,covid; 
NEW: next week I will preside over a @JECDems hearing on the Economic Impact of America’s Failure to Contain the Coronavirus with excellent witnesses (see below).  This is one of the most important topics confronting Congress and the country today. https://t.co/2tJeiunltA,2020-09-15 19:01:04,Twitter for iPhone,8,14,corona; 
Trump is using his position of power to spread COVID-19. People died after his last indoor rally. https://t.co/fhx86Objvw,2020-09-14 12:42:38,Twitter for iPhone,86,204,covid; 
This exchange on March 20 was the day after Trump told Bob Woodward "I still like playing it down" about the COVID-19 pandemic.  @PeterAlexander: "What do you say to Americans who are watching you right now who are scared?"  Trump: "I say that you're a terrible reporter." https://t.co/i8WKLzJADz,2020-09-09 18:44:14,Twitter Web App,52,79,covid; 
Donald Trump has spent six months publicly blaming China for duping him about the effects of the coronavirus. But behind the scenes he admitted he had been given stark warnings directly by Chinese President Xi Jinping warnings he totally disregarded. https://t.co/TbUqqOCI0N,2020-09-09 16:28:17,Twitter Web App,309,480,corona; 
Donald Trump admitted to Bob Woodward in a recorded interview that he knowingly and intentionally lied about the seriousness of the COVID-19 pandemic  Nearly 200000 Americans have died since he said these words. https://t.co/OQGvbnINjP https://t.co/KymzH4Koez,2020-09-09 16:11:06,Twitter Web App,113,209,covid; 
The United States is hurtling uncontrollably towards 200000 deaths from COVID-19 and Trump has no strategy to stop it https://t.co/kNg9mwxvql,2020-09-08 12:37:30,Twitter for iPhone,167,586,covid; 
190000 Americans have died from COVID-19 and six months in Trump still has no plan to fight the pandemic. https://t.co/M6YHCnSb9T,2020-09-06 20:54:17,Twitter for iPhone,104,267,covid; 
COVID-19 hit Virginia hard but state leaders are working to support the public health response and ensure critical services are in place for all who need them. Keeping Virginians safe during the pandemic is one of the top priorities in the session. 9/ https://t.co/bynWlmNUIC,2020-09-03 20:55:18,Twitter Web App,5,21,covid; 
Over 185000 people in the United States have died from COVID-19 https://t.co/lVKowyudMA,2020-09-03 13:48:32,TweetDeck,71,185,covid; 
And being investigated by the House for shady coronavirus response contracts. https://t.co/wSWevPaQFh,2020-09-02 13:04:16,Twitter for iPhone,44,132,corona; 
“As President Donald Trump was painting a positive picture... and urging states to reopen the nation's businesses and schools data from the White House coronavirus task force... shows he was getting increasingly dire reports about the spread of the pandemic in July and August.” https://t.co/1ewSPwkvsY,2020-08-31 21:48:46,Twitter for iPhone,109,208,corona; 
The count of COVID-19 cases in the United States passed 6000000 today https://t.co/AvsfRZo1d2,2020-08-31 16:26:37,Twitter Web App,28,73,covid; 
As we show support for USPS today I'm thinking about Jesus Collazos. He immigrated to Arlington from Colombia in 1978 and spent 25 years as a letter carrier delivering mail in Northern Virginia.  He passed away earlier this summer from COVID-19 a great loss for our community. https://t.co/756S0xiuz3,2020-08-22 21:00:00,TweetDeck,74,178,covid; 
More information on the Addressing COVID-19 Health Disparities Act here: https://t.co/jGeS30b0mP,2020-08-19 20:14:17,Twitter Web App,6,10,covid; 
170000 Americans have now died from COVID-19 and tens of millions are unemployed. https://t.co/o3zb40yxuo,2020-08-16 19:48:35,Twitter for iPhone,618,1363,covid; 
We simply can't trust the Trump Administration to do this without competently and without corruption. My bill would restore COVID-19 data tracking at CDC where it belongs. https://t.co/ARvMwN4gFL,2020-08-15 18:45:00,TweetDeck,38,119,covid; 
