New data shows that AAPIs were among the communities hardest hit by the coronavirus with deaths up by 35% compared to the last 5 years. We must address the inequalities in our healthcare system to make sure BIPOC get the care they need and deserve. https://t.co/fVDz7hqpKi,2020-08-23 22:57:00,Sprout Social,6,11,corona; 
Because of @realDonaldTrump's failure to lead our country has been effectively "defeated" by the coronavirus. Recovery is possible -- and that starts by electing leaders "with sound judgment high character and respect for science logic and reason." https://t.co/6ft3l5M1xg,2020-08-16 23:46:01,Sprout Social,7,25,corona; 
I’m a parent of two kids in our NYC public school system. I actually want perfection when it comes down to a schools plan to protect our teachers and kids from coronavirus. Pragmatic and tough won’t protect them from covid. https://t.co/XA5U2vRoZk,2020-08-13 15:33:20,Twitter for iPhone,15,84,covid; corona; 
These lifesaving supplies shouldn’t be secured on a piecemeal basis. It’s hard enough to get kids to social distance as it is. Need to ensure the safety/health of our unsung heroes- our educators staff &amp; students. They need sufficient testing PPE ventilation BEFORE reopening. https://t.co/fTxyBXymNg,2020-08-13 12:31:00,Twitter for iPhone,7,12,social distance; 
When it comes to reopening schools we cannot let @realDonaldTrump ignore the facts. Our kids can get the coronavirus they can spread it &amp; while most kids don't get critically ill the virus still poses a very real threat to teachers &amp; families.  https://t.co/sEyJAtY2RD,2020-08-11 19:31:01,Sprout Social,1,9,corona; 
Our kids aren't safe or "immune" from the coronavirus. None of us are. And we won't be truly safe until we vote this dangerous president out of office. https://t.co/DJqLwnmF0X,2020-08-09 19:34:02,Twitter Web App,7,16,corona; 
More than 30 percent of Asian Americans say they have been subject to slurs or jokes since the coronavirus outbreak. This PSA that raises awareness and combats the rise of hate against our communities is so important. https://t.co/4YrtpWlwjQ,2020-07-30 01:52:18,Twitter Web App,23,62,corona; 
@RNicholsonJr Nope! That’s being racist and diverting blame and responsibility. Covid 19/coronavirus is the accurate name of the disease - see @WHO and Rep. Gohmert should be more careful and wear a mask to AVOID spreading the virus.,2020-07-29 22:43:57,Twitter for iPhone,0,0,covid; corona; 
Meet my new colleague - Congressman Covid! 😷 https://t.co/u7onnTj7Qn,2020-07-29 21:25:11,Twitter for iPhone,30,113,covid; 
The U.S. is among the top 10 countries with the worst coronavirus outbreak. @realDonaldTrump is the reason so many American families are struggling right now -- this rests on his shoulders. https://t.co/cfBBTQBtyu,2020-07-24 22:09:33,Twitter Web App,3,5,corona; 
Testing and contact tracing are the best ways to keep our families and communities safe from the coronavirus. @realDonaldTrump is trying to block states from doing either. Every day Trump is in office he's endangering more and more lives. https://t.co/q2EMeupmLU,2020-07-23 00:51:56,Twitter Web App,3,6,corona; 
Sharing for anyone who needs:  NYers can now apply for NY's COVID Rent Relief Program. While there's so much more we should be doing to offer real relief to every American I want to make sure the families who could be helped by this program see it: https://t.co/F01qTR4VWW,2020-07-16 21:08:32,Twitter Web App,5,3,covid; 
The coronavirus pandemic is far from over. So why aren't companies fairly compensating essential workers for the risks of their jobs?   To protect workers: Companies like @StopandShop must extend #HazardPay  The Senate must pass the #HeroesAct https://t.co/Ge40YGiQ8e,2020-07-15 18:47:01,Sprout Social,2,8,corona; 
Really fed up with people not wearing masks or not wearing them properly. 😡 This applies to everyday people but especially to my colleagues on planes trains &amp; in the Capitol. Being a leader means not being selfish being a part of solution &amp; helping to save lives. #coronavirus https://t.co/DmBgro2wR9,2020-07-13 20:12:52,Twitter for iPhone,6,42,corona; 
Today I'm feeling hopeful because on July 11th NYC reported 0 new coronavirus deaths for the 1st time since March 11. Thank healthcare workers who risked their lives to get us here &amp; do your part to keep our city safe by wearing a mask &amp; social distancing. https://t.co/YlBDhbsiZt,2020-07-13 20:09:00,Sprout Social,3,14,corona; 
Systemic racism hurts BIPOC in countless ways. Take the coronavirus: Black &amp; Latino people are nearly twice as likely to die from the virus as white people. We must work to make sure our healthcare system better serves these communities. https://t.co/8t97Xj4p8G,2020-07-06 19:58:01,Sprout Social,1,3,corona; 
If you believed in America you would save American lives. We beg you and the @GOP to work with @realDonaldTrump to prevent needless #coronavirus deaths https://t.co/gXohzFAvMq,2020-07-05 17:24:26,Twitter for iPhone,4,7,corona; 
Yes it’s hard to breathe with a mask. It’s gonna be a lot harder to breathe when you have #coronavirus. #WearAMask...please... https://t.co/3rsGJ8J3La,2020-07-01 14:55:00,Twitter for iPhone,77,515,corona; 
Nursing homes have been disproportionately impacted by the coronavirus in NY &amp; across the country. As our state moves forward with reopening we must do all we can to keep these vulnerable residents safe &amp; support their families &amp; loved ones. https://t.co/8m4WtlIVo9,2020-07-01 00:52:00,Sprout Social,3,12,corona; 
As New York reports the lowest levels of COVID-19 hospitalizations since March I want to take a moment to again thank the brave healthcare workers who got us here. Our city could never thank you enough for all you've done. @nynurses @1199SEIU https://t.co/FV63KF4BkQ,2020-06-28 19:49:01,Sprout Social,15,42,covid; 
.@realDonaldTrump's unwillingness to expand testing means that millions of coronavirus cases have gone undetected. To protect our families we need to make testing and tracking top priorities. https://t.co/HUWq6IdQKa,2020-06-25 22:56:01,Sprout Social,2,10,corona; 
Profoundly moved by @THECITYNY's commitment to telling the stories of the New Yorkers we lost to the coronavirus. https://t.co/l4MNEHqBGz,2020-06-25 20:35:01,Sprout Social,10,32,corona; 
Yesterday's election was the perfect example of why I've fought for years to make voting easier for every American. Even as we recover from the coronavirus crisis this problem is not going away.  https://t.co/Z28R7gRQZq,2020-06-24 23:24:00,Sprout Social,8,34,corona; 
"Representing one of the hardest hit districts from COVID-19 Congresswoman Grace Meng has been a champion for working families immigrants and all of her constituents. I stand with Grace Meng in her re-election to Congress." - @JumaaneWilliams https://t.co/7MQNnxgRHc,2020-06-21 17:05:03,Sprout Social,18,114,covid; 
Even with the Trump administration's lack of transparency we know too many of our neighborhood small businesses are being left behind. I fought to secure coronavirus relief for these businesses and I won't stop fighting to make sure they get support. https://t.co/vb9mrQcLwd,2020-06-16 19:41:01,Sprout Social,3,9,corona; 
Living in the epicenter of the epicenter of the coronavirus crisis I couldn't be more grateful to our healthcare workers. These workers are heroes &amp; I will never stop fighting to get them the support they need &amp; deserve. I am honored to have earned the endorsement of @1199SEIU https://t.co/lMw3QuGzHi,2020-06-16 18:38:01,Sprout Social,5,23,corona; 
New York's transportation workers are on the frontline of the coronavirus crisis putting their own lives in danger to ensure that doctors nurses &amp; other essential workers can get to work. I'm proud to have @TWULocal100's endorsement &amp; to fight alongside them. https://t.co/V6vWW9FP4B,2020-06-10 22:55:02,Sprout Social,13,42,corona; 
I will never forget the calls I got from Elmhurst Hospital docs &amp; nurses afraid for their lives. Elmhurst is winning the battle against the coronavirus because of these workers -- and in spite of @realDonaldTrump.   NY knows who the real heroes are. https://t.co/OAzBkNUwUo,2020-06-09 00:48:00,Sprout Social,14,60,corona; 
As a mom of asian boys I’ve had many conversations about racism they may face esp in times of coronavirus. But my convos are nowhere near the level of fear &amp; hurt that moms of black boys need to have EVERY time they leave their homes- that they might never see their sons again. https://t.co/BoMltR2SjC,2020-05-29 18:08:48,Twitter for iPhone,9,45,corona; 
We helped set up free coronavirus testing at Pomonok Houses starting TOMORROW Friday 5/22. Please call # below if interested. https://t.co/UHMsC4NkaN,2020-05-21 19:02:50,Twitter for iPhone,1,2,corona; 
New Yorkers and Americans across the country have seen a rise in coronavirus-related scams. @THECITYNY has a helpful guide on how to spot these scams and what you can do to protect yourself and your family: https://t.co/bKfw7LorLA,2020-05-19 21:14:01,Sprout Social,4,7,corona; 
In NY nursing homes have been hard hit by COVID-19. While we must protect the health &amp; safety of our elderly population physical distancing shouldn't force them into social isolation. My legislation will help them stay in touch with loved ones safely: https://t.co/zl5R71Cg1v,2020-05-18 20:42:00,Sprout Social,2,4,covid; 
This #APAHM i want to thank @NYCMayor for his strong and vocal support during the coronavirus for the #AAPI community in NYC https://t.co/hq71OZa8ts,2020-05-15 23:37:46,Twitter for iPhone,4,13,corona; 
We're losing too many Americans to the coronavirus every day. Millions are out of work &amp; can't afford to pay next month's rent. There is so much more that needs to be done and I won't let @senatemajldr turn his back on our families. https://t.co/zU7Fqxqx1h,2020-05-13 14:26:01,Sprout Social,5,16,corona; 
We are very angry at you. You use racism to disguise your lack of responsiveness and responsibility. American lives of all backgrounds have been lost. Your words have led to increased discrimination against asian Americans which will outlast the coronavirus. https://t.co/6ndF5ErBiE,2020-05-12 12:27:13,Twitter for iPhone,504,2110,corona; 
@realDonaldTrump We are very angry at you. You use racism to disguise your lack of responsiveness and responsibility. American lives of all backgrounds have been lost. Your words have led to increased discrimination against asian Americans which will outlast the coronavirus.,2020-05-12 12:26:38,Twitter for iPhone,54,461,corona; 
As millions of Americans worry about the coronavirus many are also living in fear from the rise of bigotry &amp; hate. We must do everything possible to protect the safety of every single person – no matter their race ethnicity religion or background. https://t.co/7WatZ2kgti,2020-05-11 23:44:01,Sprout Social,17,57,corona; 
“we owe to black folks 4 leading the fight for civil rights...for carrying us all in search 4 equality even today as black leaders stand w/ us agst coronavirus racism. So when we post about stopping hate we have to mean all hate. ⁦👏@lyyinaround⁩  https://t.co/ExITDf7HiU,2020-05-09 23:06:53,Twitter for iPhone,7,18,corona; 
On #NationalNursesDay I want to take an opportunity to highlight the impact that COVID-19 has had on #FilipinoAmericans who disproportionately represent many of the nurses on the frontlines against this pandemic. In NY-NJ alone 25% of nurses are FilAms https://t.co/djc1IaKeVD,2020-05-06 19:18:55,Twitter Web App,40,63,covid; 
Treating coronavirus patients and facing high death rates a lack of PPE long hours and separation from loved ones take an unimaginable emotional toll on healthcare workers. Supporting their mental health must be a priority in the next relief package. https://t.co/wCZBcZ5m4C,2020-05-05 00:43:00,Sprout Social,3,6,corona; 
If you are able to but still choose not to social distance and wear a mask then pls don’t bother tweeting in support of essential workers and the &gt;16000 dead in NY. YOU are being selfish but these workers will still take care of you when YOU land in their emergency room. 🤦🏻‍♀️,2020-05-04 02:43:50,Twitter for iPhone,166,705,social distance; 
Thank you #InformedImmigrant for your comprehensive list of COVID-19 resources for immigrant families.   Check it out here ⬇️  https://t.co/oZjyRm3UE6,2020-05-03 22:13:07,Sprout Social,5,7,covid; 
Tragedies like these are exactly why I fought for more transparency from our nursing homes. Nursing homes must immediately report coronavirus infections &amp; deaths to families of residents &amp; we must support our vulnerable nursing home residents https://t.co/PAzJFztN0d,2020-05-03 17:11:01,Sprout Social,7,11,corona; 
It is unacceptable that federal agencies have not provided translated COVID-19 resources. Nobody should ever be left in the dark about this potentially life-saving information which is why I introduced my COVID-19 Language Access Act https://t.co/OjCcG5TaBO,2020-05-02 20:04:01,Sprout Social,10,34,covid; 
Essential workers of color- good enough to pay taxes good enough to risk their lives but not good enough to get coronavirus relief $ from Administration. Trump won’t invoke #DPA to save their lives but instead invokes to put them at further risk. https://t.co/7ifCjxzpWg,2020-04-30 02:00:59,Twitter for iPhone,14,46,corona; 
Here are just a few of the faces and stories behind the staggering coronavirus death toll. We've lost parents and grandparents friends and neighbors and our country will never be the same. https://t.co/7AzYBUZhPS,2020-04-29 21:27:00,Sprout Social,5,16,corona; 
These essential workers and all others should ALL be able to get #TestingForCovid19 and proper #PPE before going back to work. President Trump should invoke #DPA for the tests and PPE just like he is doing for the meat. @UFCW @RWDSU @Marc_Perrone @sappelbaum https://t.co/c8llJ37HF8,2020-04-29 20:03:46,Twitter for iPhone,6,7,covid; 
“It’s scary to go to work every morning” “We were all worried about the conditions because we work very close together”  After their coworkers contracted COVID-19 &amp; 17 tragically died Airport workers are still showing up. They need our support @32BJSEIU https://t.co/7tiBxL58S9,2020-04-28 19:22:02,Sprout Social,12,23,covid; 
The answer is simple. If a NH resident has #COVID19 they should be separated from someone without covid. That’s not happening in our nursing homes. People will continue to get infected if we are not testing and isolating covid residents. We must prioritize testing in our NHs! https://t.co/1EN1DLKSjj,2020-04-26 15:18:12,Twitter for iPhone,7,14,covid; 
.@realDonaldTrump who repeatedly used a racist term for the coronavirus now wants to use this pandemic to further his anti-immigration agenda.   We need more tests more PPE and real leadership -- Trump should start there instead. https://t.co/jabX6xgywC,2020-04-23 23:12:01,Sprout Social,4,10,corona; 
The Charles B. Wang Community Health Center does an exceptional job of providing critical health services in Queens. I am proud to support them with this needed funding &amp; I'll continue to fight for more resources as we work to combat the COVID-19 outbreak https://t.co/JeMtv5XqdT,2020-04-22 22:40:01,Sprout Social,1,5,covid; 
1 in every 5 NY coronavirus deaths occurred in a nursing home. The families of these residents deserve to know when their loved ones are infected &amp; if they pass. We won this fight &amp; I'll continue working to safeguard vulnerable communities https://t.co/ZUCmHVetxV,2020-04-22 20:23:01,Sprout Social,10,29,corona; 
💯 👇While the coronavirus relief package 3.0 helped many Americans MANY were left out. Next Coronavirus relief package must include help for ALL: testing for all #cancelrent &amp; mortgage help for actual small biz $ to protect voting keep people on payroll food security etc. https://t.co/l3a9iXqGF0,2020-04-21 03:36:49,Twitter for iPhone,23,52,corona; 
He’s worried about people coming HERE? His answer is blocking immigrants like he blocks #TestingNow and #PPE. Who’s gonna tell him #COVID19 snuck in past his ‘wall’ months ago already. https://t.co/rxZUHanYXK https://t.co/BFHxqpsJac,2020-04-21 02:32:38,Twitter for iPhone,7,20,covid; 
As we’ve seen #coronavirus’ heavy toll on women of color i want to give a shout-out to some of my hardworking colleagues who’ve been regularly delivering food #PPE to hospitals @NYCHA nursing homes etc. @ReElectNydia @VoteYvette @AOC @CarolynBMaloney. Women get it done! 💪💪,2020-04-20 16:58:16,Twitter for iPhone,11,85,corona; 
This is good news but it should be preceded by testing for EVERYONE and ISOLATING infected residents. in the NH. The first priority should still be to prevent people from even getting covid. https://t.co/bhc0yHFFwM,2020-04-20 01:51:16,Twitter for iPhone,2,6,covid; 
Some good news for today: coronavirus patients are recovering &amp; going home. But that doesn't mean we stop fighting. The more PPE ventilators &amp; support we can give our hospitals the more common these stories become. We can get through this together. https://t.co/nZueyQTaE2,2020-04-19 20:46:00,Sprout Social,6,24,corona; 
We all need to remember that the current coronavirus crisis is especially hard for black mothers. That's why last week's #BlackMaternalHealthWeek was so important -- and why we need to continue fighting to address maternal mortality rates today. @LaurenUnderwood @AlmaforCongress,2020-04-19 16:58:00,Sprout Social,5,19,corona; 
Don’t leave our grandparents aunts uncles to die.  We wrote a letter to ⁦@HHSGov⁩ ⁦@CMSGov⁩ to get more data on nursing home deaths. Need to: #TestTraceIsolate cases! If you don’t do that OF COURSE #coronavirus will spread. Need help NOW!  https://t.co/5I0ExT9hOl,2020-04-17 01:59:14,Twitter for iPhone,8,15,corona; 
NEED transparency/data from @CDC @CMSGov on #coronavirus in our nursing homes. They were required to take in Covid patients not given enough #TESTING to isolate cases &amp; workers don’t have enough #PPE. People deserve to know why their loved ones died. https://t.co/Ug8oTM15Vw https://t.co/XvdnajCCev,2020-04-16 15:13:22,Twitter for iPhone,4,3,covid; corona; 
Need transparency/data from @CDC @CMSGov on #coronavirus in our nursing homes. They were required to take in Covid patients not given enough #TESTING to isolate cases &amp; workers don’t have enough #PPE. We need answers as to why people died and help to prevent future deaths. https://t.co/JTixKdovnW,2020-04-16 01:55:50,Twitter for iPhone,5,6,covid; corona; 
I stand with @32BJSEIU essential service workers -- janitors security officers residential workers &amp; airports workers on the frontlines of #COVID19 they need essential pay PPE &amp; layoff protection #ProtectAllWorkers https://t.co/TiPrgfLaj4,2020-04-15 22:39:16,Twitter Web App,11,24,covid; 
I have a solution for kids w/o internet access. It does not include sending them into the woods but to pass my bill to provide ‘internet for all’ in the next #coronavirus relief bill. This issue affects kids in both urban and rural areas. Our students deserve better. https://t.co/TH0YcG2h7T,2020-04-14 23:08:31,Twitter for iPhone,12,46,corona; 
As the first round of coronavirus relief payments is distributed I'm fighting to pass legislation to ensure immigrants who use an ITIN receive support. Immigrants &amp; mixed-status families are falling on hard times too. We cannot leave them behind. https://t.co/39aIpNQ4Rh,2020-04-08 19:15:03,Sprout Social,2,15,corona; 
This is why I’ve been working on my Homework Gap legislation to get broadband access for all - for the 12 million kids across Rural America to NYC who can’t log online to learn today. Hope to get it in the next coronavirus releif package. https://t.co/TMoOZ2cVKr,2020-04-06 18:58:29,Twitter for iPhone,8,16,corona; 
