@rolandsmartin Did he have the coronavirus?,2020-11-11 03:26:21,Twitter for Android,24,243,corona; 
14THDAY! Trump it’s been 14DAYS since I sent Cabinet a letter asking U to use the Defense Production Act to get more personal protective equipment to our hospitals &amp; clinics so desperately in need of equipment to deal with surge in #Coronavirus infections.#NoresponsePeopleRDying,2020-07-31 16:26:35,Twitter for iPhone,1599,4575,corona; 
13THDAY! Trump it’s been 13DAYS since I sent Cabinet a letter asking U to use the Defense Production Act to get more personal protective equipment to our hospitals &amp; clinics so desperately in need of equipment to deal with surge in #Coronavirus infections.#NoresponsePeopleRDying,2020-07-30 09:33:19,Twitter for iPhone,1904,6297,corona; 
12THDAY! Trump it’s been 12DAYS since I sent Cabinet a letter asking U to use the Defense Production Act to get more personal protective equipment to our hospitals &amp; clinics so desperately in need of equipment to deal with surge in #Coronavirus infections.#NoresponsePeopleRDying,2020-07-28 20:03:53,Twitter for iPhone,1253,3965,corona; 
11THDAY! Trump it’s been 11DAYS since I sent Cabinet a letter asking U to use the Defense Production Act to get more personal protective equipment to our hospitals &amp; clinics so desperately in need of equipment to deal with surge in #Coronavirus infections.#NoresponsePeopleRDying,2020-07-27 01:52:09,Twitter for iPhone,3161,9187,corona; 
10THDAY! Trump it’s been 10DAYS since I sent Cabinet a letter asking U to use the Defense Production Act to get more personal protective equipment to our hospitals &amp; clinics so desperately in need of equipment to deal with surge in #Coronavirus infections.#NoresponsePeopleRDying,2020-07-25 17:59:54,Twitter for iPhone,3327,8943,corona; 
8TH DAY! Trump it’s been 8 DAYS since I sent Cabinet a letter asking U to use the Defense Production Act to get more personal protective equipment to our hospitals &amp; clinics so desperately in need of equipment to deal with surge in #Coronavirus infections.#NoresponsePeopleRDying,2020-07-23 21:12:39,Twitter for iPhone,2615,7238,corona; 
7TH DAY! Trump it’s been 7 DAYS since I sent Cabinet a letter asking U to use the Defense Production Act to get more personal protective equipment to our hospitals &amp; clinics so desperately in need of equipment to deal with surge in #Coronavirus infections.#NoresponsePeopleRDying,2020-07-22 23:18:52,Twitter for iPhone,1957,5548,corona; 
Hospitals! Trump is now telling you NOT to report #coronavirus data to the CDC. Tell him to GO TO HELL! Doesn’t he understand people are dying?? Report! Report! Report!,2020-07-16 00:59:59,Twitter for iPhone,25902,83340,corona; 
Trump said 99% of #COVID19 cases are harmless. Trump is a 99% LIAR! First he called it a hoax then told people to drink disinfectant; then he said it would disappear. Where are the masks gloves &amp; PPE? Everyone knows Trump is a liar. Ignore his advice! We’ll get him out in Nov!,2020-07-08 04:14:38,Twitter for iPhone,9866,42299,covid; 
Trump still refuses to wear a mask. Trump’s FAILED leadership &amp; his unfortunate followers not wearing masks &amp; not social distancing is responsible for the growing infections death &amp; surge in #coronavirus cases.,2020-06-30 13:52:44,Twitter for iPhone,622,2189,corona; 
All should be worried about the overcrowding of ICUs in our hospitals &amp; the inability for individuals to self isolate that will cause even more #coronavirus infections. Mayors &amp; city councilmembers please negotiate for unused hotel rooms paid for by the feds 4 patient isolation!,2020-06-30 13:51:37,Twitter for iPhone,270,888,corona; 
Thank you @GavinNewsom for all that he has tried to do to fight #COVID19 &amp; now realizes that he must get even tougher &amp; is now closing nightclubs and bars shutting down beaches insisting on masks and is determined to flatten the curve!,2020-06-30 13:48:01,Twitter for iPhone,438,3134,covid; 
Forty percent of #COVID19 deaths are the elderly in nursing homes. I’m demanding more tests &amp; PPE for workers &amp; patients higher wages and 2-weeks paid leave for nursing home workers. Both workers &amp; patients are dying! This is America! We can do better than this!,2020-06-11 23:21:00,Twitter for iPhone,900,3183,covid; 
We can’t forget about our public housing residents &amp; their need to be safe. @HACLA1938 President Doug Guthrie &amp; I distributed masks and a list of COVID-19 testing sites to Avalon Gardens Public Housing Development residents in my District. More info: https://t.co/qznnmxpgD9 https://t.co/arKCVXVgAT,2020-06-09 00:13:03,Twitter for iPhone,154,852,covid; 
Instead of Trump instigating threatening &amp; being anxious to call out the military he should tell the truth abt the number of people dying from #COVID19 &amp; ensure medical &amp; survival equipment reach hospitals &amp; clinics. Trump has failed on his duty &amp; responsibility to our country,2020-05-30 19:51:06,Twitter for iPhone,946,2751,covid; 
Trump is a dangerous example for children and those who tend to follow him. Not wearing a mask and not social distancing is dangerous. Do not follow his example. Protect yourself. Coronavirus kills! Maybe this ignoramus doesn’t care but you should care about yourself!,2020-05-25 02:40:09,Twitter for iPhone,1351,4782,corona; 
Trump slammed Obama for playing golf after 2nd US Ebola case in 2014 &amp; today Trump was on his 2nd golf day as US approaches 100000 #coronavirus deaths. Trump has implied COVID19 deaths may be his price for repairing the economy. He has no conscience! No empathy. No humanity!,2020-05-25 02:36:31,Twitter for iPhone,2197,6724,covid; corona; 
Trump doesn’t care about the 80000+ people who’ve died from #Coronavirus! He only wants to open up the economy so he can go back to having his white power pep rallies! The death &amp; economic devastation we are facing is b/c Trump failed to act early &amp; called #COVID19 a HOAX!,2020-05-14 02:01:27,Twitter for iPhone,9303,33825,covid; corona; 
If pushing #Hydroxychloroquine wasn’t enough Trump is now suggesting disinfectant &amp; ultraviolet light as a COVID19 treatment! Trump is endangering the lives of people who believe &amp; follow his advice! He needs to shut up &amp; be denied TV time w/ his unhinged cures &amp; remedies!,2020-04-25 00:55:05,Twitter for iPhone,873,3323,covid; 
Gov Kemp followed the advice of Trump &amp; his protestors &amp; “liberated” his state &amp; opened up the businesses that have the most personal contact w/ individuals in a state w escalating COVID19 sickness &amp; death. His actions will cause more infections. Stupid Kemp should know better!,2020-04-25 00:53:48,Twitter for iPhone,1335,5417,covid; 
Trump when are you going to say a word of sympathy &amp; condolences to the families &amp; friends of the 50k coronavirus victims who’ve died in our country &amp; even the others who’ve died around the world? Have you no empathy? Have you no compassion or decency?,2020-04-25 00:39:52,Twitter for iPhone,10233,52793,corona; 
If that is not enough commandeering medical equipment meant for first responders doctors nurses &amp; health personnel recommending untested medicine claiming authority to determine when to open up schools &amp; when COVID19 is no longer a threat;,2020-04-15 02:57:53,Twitter for iPhone,637,2006,covid; 
COVID19 is changing our lives in ways we never dreamed. Dedicated doctors nurses orderlies &amp; other health care workers saving our lives in ways we can never repay. Call the hospital CEOs presidents &amp; leadership &amp; have them tell their personnel that people are appreciative!,2020-04-15 02:55:41,Twitter for iPhone,259,1073,covid; 
The statistics &amp; data are emerging about #COVID19 racial disparities including infections &amp; death. This Admin had better not play around w/a lack of testing lack of sufficient PPE at hospitals in these communities &amp; lack of support for the homeless &amp; healthcare resources.,2020-04-15 02:50:51,Twitter for iPhone,243,935,covid; 
Would Trump dare use #coronavirus as an opportunity to reward big GOP donors &amp; place people in our country in a vulnerable position b/c the PPE hasn’t been available to the states? Very suspicious! Are these new GOP companies getting PPE from what Kushner called “our stockpile”?,2020-04-06 21:13:19,Twitter for iPhone,2461,5683,corona; 
Doing all I can to answer questions abt govt response to #COVID19. Over 19k people called in to my 1st #covid19 tele town hall &amp; &gt;15k people called in to my 2nd. Never hesitate to call elected reps or fed agencies to learn how govt is helping U during this crisis! U deserve info!,2020-04-06 00:17:33,Twitter for iPhone,637,2570,covid; 
Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don’t listen to 45 when he says heat will kill the virus; or he won’t wear a mask; or when he calls hospital workers thieves or refuses natl lockdown! 45 just can’t be trusted!,2020-04-06 00:09:25,Twitter for iPhone,15334,58533,covid; 
Trump you incompetent idiot! You sent 18 tons of PPE to China early but ignored warnings &amp; called COVID19 concerns a hoax. You've endangered doctors nurses aids orderlies &amp; janitors - all risking their lives to save ours. Pray 4 forgiveness for the harm that you're causing!,2020-03-30 21:05:36,Twitter for iPhone,48277,168179,covid; 
Trump stop congratulating yourself! You’re a failure &amp; you've mishandled this #COVID19 disaster! You're not knowledgeable &amp; you don’t know more than experts &amp; generals. Your ignorance &amp; incompetence are appalling &amp; you continue to demonstrate that every time you open your mouth!,2020-03-30 21:01:54,Twitter for iPhone,8498,26466,covid; 
Trump since you destroyed the WH unit designed to plan for pandemics like #COVID19 you need to stop being duplicitous about the DPA &amp; get more corps to develop masks respirators &amp; everything needed to protect hospital workers trying to save lives. Get your act together!,2020-03-30 20:59:11,Twitter for iPhone,1828,5946,covid; 
I’ve been working around the clock w/ the Sen &amp; House to ensure my @FSCDems #coronavirus plan is made law. My plan calls for $2k to ea American $15bn (updated) to fight homelessness a freeze on evictions/foreclosures &amp; no neg credit reporting during crisis! Let’s get it done! https://t.co/X2bmYYzpwf,2020-03-22 21:32:22,Twitter Web App,2160,6840,corona; 
My #coronavirus relief plan puts families consumers &amp; workers first. My plan recognizes that so many people in this country are worried about what happens when their mortgage/rent/car payments/bills are due! That's why I'm working w/ the House &amp; Senate to get my plan passed!,2020-03-22 21:23:01,Twitter Web App,2470,10739,corona; 
Shout out to @GavinNewsom &amp; @NYGovCuomo! This is what real leadership looks like. They are kicking ass &amp; doing so w/ empathy &amp; respect taking care of our citizens while Trump is trying to make us believe he changed his mind about calling the #Coronavirus a hoax!,2020-03-22 21:19:04,Twitter Web App,1112,4192,corona; 
Huge turnout at my CA-43 telephone town hall discussing #coronavirus. 19K+ ppl joined by phone &amp; live stream to hear from @lapublichealth all 43rd CD school districts @LAHomeless @LAFoodBank @WattsHealthCare @SBFHC &amp; @UMMAclinic. More tele town halls to come!,2020-03-22 21:18:28,Twitter Web App,97,648,corona; 
Rep. Nunes' latest rant urging people to go out like there's no pandemic should be ignored! He is one of Trump's biggest sycophants in Congress! Listen to health experts @CDCgov &amp; your local officials. Take #coronavirus seriously &amp; practice social distancing.,2020-03-16 00:00:30,Twitter for iPhone,983,3471,corona; 
Given the outrageous bureaucracy that denied many labs the ability to perform COVID-19 tests the Administration should reassure the public by telling us how many tests are being done every day and by whom.,2020-03-15 23:57:49,Twitter for iPhone,381,1419,covid; 
I don’t trust Trump or his sycophants! Trump had been partying it up at Mar-a-Lago &amp; at all these places w/ people who now have #coronavirus! He should follow @cdc guidance and self quarantine for 14 days just like the public is advised to do.,2020-03-15 23:55:19,Twitter for iPhone,612,2848,corona; 
Now is the time for all of us to keep informed of all the coronavirus info on a daily basis. Listen to @CDCgov &amp; local health experts like @CAPublicHealth wash your hands avoid touching your eyes/nose/mouth &amp; stay home if you’re sick.,2020-03-09 02:58:53,Twitter for iPhone,419,1927,corona; 
